1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$2,400",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",94 Greenfield,"Irvine, CA 92614",,https://www.apartments.com/94-greenfield-irvine-ca-unit-99/mlknkfh/,"1,159","1,159 Sq Ft",Irvine,,Condos,CA
,,,$800,Available Now,4 BAs,"[{'bedroom_type': '4 Beds', 'price': '$800'}]",15 Paseo Primero,"Rancho Santa Margarita, CA 92688",,https://www.apartments.com/15-paseo-primero-rancho-santa-margarita-ca/08b75m2/,"1,693","1,693 Sq Ft",Rancho Santa Margarita,,Condos,CA
,"$2,295",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]",13285 Sunnyslope Dr,"Chino Hills, CA 91709",,https://www.apartments.com/13285-sunnyslope-dr-chino-hills-ca/tdb1ze9/,"1,076","1,076 Sq Ft",Chino Hills,,Condos,CA
,"$2,300",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",1164 S Crofter Dr,"Walnut, CA 91789",,https://www.apartments.com/1164-s-crofter-dr-walnut-ca/97thx37/,"1,137","1,137 Sq Ft",Walnut,,Condos,CA
,"$2,850",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",173 Village Ct,"Fullerton, CA 92832",,https://www.apartments.com/173-village-ct-fullerton-ca/fnkvdjr/,"1,819","1,819 Sq Ft",Fullerton,,Condos,CA
"$1,375",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,375'}]",400 N Sunrise Way,"Palm Springs, CA 92262",,https://www.apartments.com/400-n-sunrise-way-palm-springs-ca-unit-261/mx4lzel/,850,850 Sq Ft,Palm Springs,,Condos,CA
,"$2,000",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",680 Golden Springs Dr,"Diamond Bar, CA 91765",,https://www.apartments.com/680-golden-springs-dr-diamond-bar-ca-unit-c/vdqm50f/,"1,215","1,215 Sq Ft",Diamond Bar,,Condos,CA
,"$1,460",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,460'}]",Fair Oaks,"Fair Oaks, CA 95628",12 Month Lease,https://www.apartments.com/8082-via-de-palmas-ln-fair-oaks-ca-unit-2/z8gq4kz/,950,950 Sq Ft,CA,,Condos,95628
,,"$1,305",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,305'}]",Fresno,"Fresno, CA 93705",12 Month Lease,https://www.apartments.com/941-w-dakota-ave-fresno-ca-unit-101/1ybk8m6/,960,960 Sq Ft,CA,,Condos,93705
,$900,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$900'}]",Fresno,"Fresno, CA 93702",12 Month Lease,https://www.apartments.com/1151-s-chestnut-ave-fresno-ca-unit-218/w5yp0sk/,700,700 Sq Ft,CA,,Condos,93702
