1 Bed,2 Beds,3 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$7,950 ",,1-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$7,950'}]",Los Angeles,"1113 Electric Ave, Los Angeles, CA 90291",12 Month Lease,https://www.apartments.com/1113-electric-ave-los-angeles-ca-unit-11/8cf2fe3/,"1,600","1,600 Sq Ft",CA,,Condos,90291
,"$4,590 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,590'}]",Los Angeles,"1840 Veteran Ave, Los Angeles, CA 90025",12 Month Lease,https://www.apartments.com/1840-veteran-ave-los-angeles-ca-unit-303/8zszeq3/,"2,045","2,045 Sq Ft",CA,,Condos,90025
,,"$6,000 ",Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",West Hollywood,"9000 Cynthia St, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/9000-cynthia-st-west-hollywood-ca-unit-402/vqt6j9f/,"1,991","1,991 Sq Ft",CA,,Condos,90069
,"$6,500 ",,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,500'}]",West Hollywood,"1033 Carol Dr, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/1033-carol-dr-west-hollywood-ca-unit-t3/tcezgt9/,"1,395","1,395 Sq Ft",CA,,Condos,90069
,"$4,200 ",,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]",Redondo Beach,"700 Esplanade, Redondo Beach, CA 90277",12 Month Lease,https://www.apartments.com/700-esplanade-redondo-beach-ca-unit-13/t4ybl98/,"1,283","1,283 Sq Ft",CA,,Condos,90277
,"$3,100 ",,1-Nov,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",Santa Monica,"1541 Princeton St, Santa Monica, CA 90404",12 Month Lease,https://www.apartments.com/1541-princeton-st-santa-monica-ca-unit-3/8kdd251/,800,800 Sq Ft,CA,,Condos,90404
,"$3,300 ",,1-Dec,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",Los Angeles,"1375 Kelton Ave, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/1375-kelton-ave-los-angeles-ca/5fhy73p/,"1,149","1,149 Sq Ft",CA,,Condos,90024
,"$3,300 ",,5-Dec,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",Los Angeles,"1951 N Beachwood Dr, Los Angeles, CA 90068",6 Month Lease,https://www.apartments.com/1951-n-beachwood-dr-los-angeles-ca-unit-207/yed89ft/,"1,500","1,500 Sq Ft",CA,,Condos,90068
,,"$6,995 ",23-Nov,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,995'}]",Playa del Rey,"6309 Ocean Front Walk, Playa del Rey, CA 90293",12 Month Lease,https://www.apartments.com/6309-ocean-front-walk-playa-del-rey-ca-unit-203/8xfwed1/,"1,700","1,700 Sq Ft",CA,,Condos,90293
,"$1,500 ",,15-Nov,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,500'}]",Escondido,"2566 White Oak Pl, Escondido, CA 92027",12 Month Lease,https://www.apartments.com/2566-white-oak-pl-escondido-ca-unit-5/3fmemjg/,899,899 Sq Ft,CA,,Condos,92027
,,"$2,550 ",Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,550'}]",Los Angeles,"6710 Balboa Pl, Los Angeles, CA 91406",12 Month Lease,https://www.apartments.com/6710-balboa-pl-los-angeles-ca-unit-3/ps906hv/,"1,111,111","1,111,111 Sq Ft",CA,,Condos,91406
