1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$4,195 ",,,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$4,195'}]",Marina del Rey,"13700 Marina Pointe Dr, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13700-marina-pointe-dr-marina-del-rey-ca-unit-1209/0nkykz1/,996,996 Sq Ft,CA,,Condos,90292
"$3,450 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$3,450'}]",Los Angeles,"215 W 7th St, Los Angeles, CA 90014",12 Month Lease,https://www.apartments.com/215-w-7th-st-los-angeles-ca-unit-1401/9qe8d55/,910,910 Sq Ft,CA,,Condos,90014
"$2,195 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,195'}]",Culver City,"6000 Canterbury Dr, Culver City, CA 90230",12 Month Lease,https://www.apartments.com/6000-canterbury-dr-culver-city-ca-unit-d314/87chq81/,775,775 Sq Ft,CA,,Condos,90230
"$2,600 ",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]",Marina del Rey,"4060 Glencoe Ave, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/4060-glencoe-ave-marina-del-rey-ca-unit-322/k01hw1b/,739,739 Sq Ft,CA,,Condos,90292
,,,,1-Nov,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,200'}]",Los Angeles,"2121 James M Wood Blvd, Los Angeles, CA 90006",12 Month Lease,https://www.apartments.com/2121-james-m-wood-blvd-los-angeles-ca-unit-121/sxzvj97/,460,460 Sq Ft,CA,"$1,200 ",Condos,90006
,"$5,495 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,495'}]",Los Angeles,"1645 Vine St, Los Angeles, CA 90028",12 Month Lease,https://www.apartments.com/1645-vine-st-los-angeles-ca-unit-711/7w16kbw/,"1,800","1,800 Sq Ft",CA,,Condos,90028
,"$4,800 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,800'}]",Los Angeles,"10501 Wilshire Blvd, Los Angeles, CA 90024",12 Month Lease,https://www.apartments.com/10501-wilshire-blvd-los-angeles-ca-unit-1101/10tgw85/,"1,057","1,057 Sq Ft",CA,,Condos,90024
,"$2,800 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]",Los Angeles,"940 Elden Ave, Los Angeles, CA 90006",12 Month Lease,https://www.apartments.com/940-elden-ave-los-angeles-ca-unit-304/81kkk02/,"1,050","1,050 Sq Ft",CA,,Condos,90006
,"$4,150 ",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,150'}]",West Hollywood,"911 N Kings Rd, West Hollywood, CA 90069",12 Month Lease,https://www.apartments.com/911-n-kings-rd-west-hollywood-ca-unit-102/f0zwn9t/,"1,171","1,171 Sq Ft",CA,,Condos,90069
"$2,995 ",,,,Available Now,1½ BAs,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}]",Los Angeles,"7250 Franklin Ave, Los Angeles, CA 90046",12 Month Lease,https://www.apartments.com/7250-franklin-ave-los-angeles-ca-unit-815/ky2r8w8/,996,996 Sq Ft,CA,,Condos,90046
,,"$6,900 ",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,900'}]",Marina del Rey,"13082 Mindanao Way, Marina del Rey, CA 90292",12 Month Lease,https://www.apartments.com/13082-mindanao-way-marina-del-rey-ca-unit-52/1ffgws6/,"2,217","2,217 Sq Ft",CA,,Condos,90292
,"$3,400 ",,,16-Nov,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,400'}]",Hermosa Beach,"1707 Pacific Coast Hwy, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/1707-pacific-coast-hwy-hermosa-beach-ca-unit-406/8xkqxz1/,973,973 Sq Ft,CA,,Condos,90254
