1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,,"$3,950",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,950'}]",Reseda,"19329 Runnymede St, Reseda, CA 91335",,https://www.apartments.com/19329-runnymede-st-reseda-ca/y3xgxfs/,"2,500","2,500 Sq Ft",CA,Houses,91335
,"$2,400",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]",Lawndale,"4042 159th St, Lawndale, CA 90260",12 Month Lease,https://www.apartments.com/4042-159th-st-lawndale-ca/wzh6wzj/,950,950 Sq Ft,CA,Houses,90260
"$1,800",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]",Los Angeles,"3239 Weldon Ave, Los Angeles, CA 90065",12 Month Lease,https://www.apartments.com/3239-weldon-ave-los-angeles-ca/2dz368b/,"1,000","1,000 Sq Ft",CA,Houses,90065
,,,"$3,000",,Available Now,2 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]",Reseda,"19552 Hartland St, Reseda, CA 91335",,https://www.apartments.com/19552-hartland-st-reseda-ca/bn9tb58/,"1,400","1,400 Sq Ft",CA,Houses,91335
,,,"$6,999",,Available Now,3½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$6,999'}]",Hawthorne,"5002 W 140th St, Hawthorne, CA 90250",,https://www.apartments.com/5002-w-140th-st-hawthorne-ca/c65d9qg/,"2,694","2,694 Sq Ft",CA,Houses,90250
"$2,200",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}]",Glendale,"1240 Linden Ave, Glendale, CA 91201",,https://www.apartments.com/1240-linden-ave-glendale-ca/4jexl0h/,550,550 Sq Ft,CA,Houses,91201
,,"$8,400",,,Available Now,4 BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,400'}]",Hermosa Beach,"512 Ardmore Ave, Hermosa Beach, CA 90254",12 Month Lease,https://www.apartments.com/512-ardmore-ave-hermosa-beach-ca/58m14cq/,"2,072","2,072 Sq Ft",CA,Houses,90254
,"$2,950",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]",Los Angeles,"1856 Jewett Dr, Los Angeles, CA 90046",,https://www.apartments.com/1856-jewett-dr-los-angeles-ca/xfm0v3m/,900,900 Sq Ft,CA,Houses,90046
,,"$5,300",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,300'}]",Los Angeles,"8163 Billowvista Dr, Los Angeles, CA 90293",12 Month Lease,https://www.apartments.com/8163-billowvista-dr-los-angeles-ca/m2d43mh/,"1,780","1,780 Sq Ft",CA,Houses,90293
,,,"$4,500",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]",Thousand Oaks,"1011 El Segundo Dr, Thousand Oaks, CA 91362",12 Month Lease,https://www.apartments.com/1011-el-segundo-dr-thousand-oaks-ca/l4vpfmd/,"2,908","2,908 Sq Ft",CA,Houses,91362
,,,,"$12,500",Available Now,4½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$12,500'}]",Los Angeles,"3646 Inglewood Blvd, Los Angeles, CA 90066",12 Month Lease,https://www.apartments.com/3646-inglewood-blvd-los-angeles-ca/lkk9nhd/,"5,487","5,487 Sq Ft",CA,Houses,90066
$850,,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$850'}]",Costa Mesa,"870 W 19th St, Costa Mesa, CA 92627",6 Month Lease,https://www.apartments.com/870-w-19th-st-costa-mesa-ca/t5hwvr8/,120,120 Sq Ft,CA,Houses,92627
,,"$4,500",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Los Angeles,"3989 Beethoven St, Los Angeles, CA 90066",4 Month Lease,https://www.apartments.com/3989-beethoven-st-los-angeles-ca/r8c6eh2/,"2,500","2,500 Sq Ft",CA,Houses,90066
"$1,995",,,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}]",West Hollywood,"1223 N Ogden Dr, West Hollywood, CA 90046",9 Month Lease,https://www.apartments.com/1223-n-ogden-dr-west-hollywood-ca/wft1xej/,500,500 Sq Ft,CA,Houses,90046
,,,,"$8,500",Available Now,3 BAs,"[{'bedroom_type': '4+ Beds', 'price': '$8,500'}]",Los Angeles,"7856 Laramie Ave, Los Angeles, CA 91306",,https://www.apartments.com/7856-laramie-ave-los-angeles-ca/7jp4tjw/,"3,200","3,200 Sq Ft",CA,Houses,91306
"$2,250",,,,,Nov 5,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}]",Los Angeles,"7711 Sausalito Ave, Los Angeles, CA 91304",,https://www.apartments.com/7711-sausalito-ave-los-angeles-ca/h8frbx2/,"1,000","1,000 Sq Ft",CA,Houses,91304
,,"$3,700",,,Nov 1,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,700'}]",Granada Hills,"11543 Swinton Ave, Granada Hills, CA 91344",,https://www.apartments.com/11543-swinton-ave-granada-hills-ca/1n47ek7/,"1,500","1,500 Sq Ft",CA,Houses,91344
,,,,"$13,000",Available Now,5½ BAs,"[{'bedroom_type': '4+ Beds', 'price': '$13,000'}]",Los Angeles,"16157 Anoka Dr, Los Angeles, CA 90272",12 Month Lease,https://www.apartments.com/16157-anoka-dr-los-angeles-ca/yf4ty8s/,"5,196","5,196 Sq Ft",CA,Houses,90272
,,"$6,000",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",Los Angeles,"17544 Lorne St, Los Angeles, CA 91325",,https://www.apartments.com/17544-lorne-st-los-angeles-ca/nxxxgqn/,"1,650","1,650 Sq Ft",CA,Houses,91325
,,"$3,100",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",Pasadena,"2140 Corson St, Pasadena, CA 91107",12 Month Lease,https://www.apartments.com/2140-corson-st-pasadena-ca/cjl242f/,"2,000","2,000 Sq Ft",CA,Houses,91107
,"$4,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,500'}]",Seal Beach,"35 Pacific Ave, Seal Beach, CA 90740",6 Month Lease,https://www.apartments.com/35-pacific-ave-seal-beach-ca/ssd12x6/,980,980 Sq Ft,CA,Houses,90740
,,"$4,495",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,495'}]",Los Angeles,"17128 Bullock St, Los Angeles, CA 91316",12 Month Lease,https://www.apartments.com/17128-bullock-st-los-angeles-ca/gm6ghcw/,"1,867","1,867 Sq Ft",CA,Houses,91316
