1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,"$4,850",,,Oct 30,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,850'}]",904 Bayswater Ave,"Burlingame, CA 94010",,https://www.apartments.com/904-bayswater-ave-burlingame-ca/yq2vc4t/,"1,410","1,410 Sq Ft",Burlingame,,Townhomes,CA
,"$6,500",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$6,500'}]",2478 Swanfield Ct,"Thousand Oaks, CA 91361",,https://www.apartments.com/2478-swanfield-ct-thousand-oaks-ca/hzenmv3/,,,Thousand Oaks,,Townhomes,CA
"$1,150",,,,Available Now,2 BAs,"[{'bedroom_type': '1 Bed', 'price': '$1,150'}]",331 S Westlake Ave,"Los Angeles, CA 90057",,https://www.apartments.com/331-s-westlake-ave-los-angeles-ca/l7le7vf/,,,Los Angeles,,Townhomes,CA
,"$3,100",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]",1735 W Silver Lake Dr,"Los Angeles, CA 90026",,https://www.apartments.com/1735-w-silver-lake-dr-los-angeles-ca/6sb292t/,,,Los Angeles,,Townhomes,CA
,"$5,000",,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]",28250 Rey De Copas Ln,"Malibu, CA 90265",,https://www.apartments.com/28250-rey-de-copas-ln-malibu-ca/dql8znh/,,,Malibu,,Townhomes,CA
,"$2,000",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]",5742 S Wilton Pl,"Los Angeles, CA 90062",,https://www.apartments.com/5742-s-wilton-pl-los-angeles-ca/cfmxmrd/,,,Los Angeles,,Townhomes,CA
,"$1,795",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,795'}]",632 Alhambra St,"Crockett, CA 94525",,https://www.apartments.com/632-alhambra-st-crockett-ca/bqft1sc/,815,815 Sq Ft,Crockett,,Townhomes,CA
,,"$3,200",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",6003 Condor St,"Danville, CA 94506",,https://www.apartments.com/6003-condor-st-danville-ca/hev9wz1/,"1,404","1,404 Sq Ft",Danville,,Townhomes,CA
,"$5,500",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",21420 Cll Del Barco,"Malibu, CA 90265",,https://www.apartments.com/21420-cll-del-barco-malibu-ca/nsmmd2n/,,,Malibu,,Townhomes,CA
,,"$5,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",815 S Holt Ave,"Los Angeles, CA 90035",,https://www.apartments.com/815-s-holt-ave-los-angeles-ca/sgerbq7/,,,Los Angeles,,Townhomes,CA
,"$2,700",,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",6915 De Longpre Ave,"Los Angeles, CA 90028",,https://www.apartments.com/6915-de-longpre-ave-los-angeles-ca/lkvpzgd/,,,Los Angeles,,Townhomes,CA
,"$2,695",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",7551 Brigadoon Way,"Dublin, CA 94568",,https://www.apartments.com/7551-brigadoon-way-dublin-ca/nv57b0q/,"1,103","1,103 Sq Ft",Dublin,,Townhomes,CA
,"$2,900",,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,900'}]",42880 Vía Oporto,"Fremont, CA 94539",,https://www.apartments.com/42880-via-oporto-fremont-ca/gmsmy5z/,968,968 Sq Ft,Fremont,,Townhomes,CA
,,"$5,950",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,950'}]",11770 Pacific Coast Hwy,"Malibu, CA 90265",,https://www.apartments.com/11770-pacific-coast-hwy-malibu-ca/6klf9nr/,,,Malibu,,Townhomes,CA
,"$2,700",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]",2142 Alexander Way,"Pleasanton, CA 94588",,https://www.apartments.com/2142-alexander-way-pleasanton-ca/hb95571/,"1,230","1,230 Sq Ft",Pleasanton,,Townhomes,CA
,"$2,695",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",5532 Franklin Ave,"Los Angeles, CA 90028",,https://www.apartments.com/5532-franklin-ave-los-angeles-ca/xn2n36p/,,,Los Angeles,,Townhomes,CA
,,"$5,000",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,000'}]",212 Country Meadows Ln,"Danville, CA 94506",,https://www.apartments.com/212-country-meadows-ln-danville-ca/j71t8z4/,"1,992","1,992 Sq Ft",Danville,,Townhomes,CA
,,"$8,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$8,500'}]",6763 Las Olas Way,"Malibu, CA 90265",,https://www.apartments.com/6763-las-olas-way-malibu-ca/k7ltkt9/,,,Malibu,,Townhomes,CA
,"$2,850",,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",7258 Cronin Cir,"Dublin, CA 94568",,https://www.apartments.com/7258-cronin-cir-dublin-ca/r74wnj0/,"1,137","1,137 Sq Ft",Dublin,,Townhomes,CA
,,,"$3,750",Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,750'}]",2231 Cedarwood Loop,"San Ramon, CA 94582",,https://www.apartments.com/2231-cedarwood-loop-san-ramon-ca/11gz1c5/,"2,254","2,254 Sq Ft",San Ramon,,Townhomes,CA
"$1,650",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]",2155 Colfax St,"Concord, CA 94520",,https://www.apartments.com/2155-colfax-st-concord-ca/1bekqz6/,650,650 Sq Ft,Concord,,Townhomes,CA
,,"$7,500",,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,500'}]",1155 S Grand Ave,"1155 S Grand Ave, Los Angeles, CA 90015",,https://www.apartments.com/3-bedroom-in-los-angeles-ca-90015-los-angeles-ca/ksjhc7b/,,,Los Angeles,,Townhomes,CA
