1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
"$3,236 ","$5,400 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,445'}, {'bedroom_type': '1 Bed', 'price': '$3,236'}, {'bedroom_type': '2 Beds', 'price': '$5,400'}]",Santa Monica,"1317 7Th St, Santa Monica, CA 90401",Gibson Santa Monica,https://www.apartments.com/gibson-santa-monica-santa-monica-ca/yfmvhnv/,CA,"$3,445 ",Apartment,90401
"$2,010 ","$2,654 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,605'}, {'bedroom_type': '1 Bed', 'price': '$2,010'}, {'bedroom_type': '2 Beds', 'price': '$2,654'}, {'bedroom_type': '3 Beds', 'price': None}]",San Diego,"453 13th St, San Diego, CA 92101",Entrada Apartments,https://www.apartments.com/entrada-apartments-san-diego-ca/peg5vbv/,CA,"$1,605 ",Apartment,92101
"$4,485 ",,,,"[{'bedroom_type': 'Studio', 'price': '$3,550'}, {'bedroom_type': '1 Bed', 'price': '$4,485'}, {'bedroom_type': '2 Beds', 'price': None}]",Santa Monica,"525 Broadway, Santa Monica, CA 90401",Sway,https://www.apartments.com/sway-santa-monica-ca/qlf86gy/,CA,"$3,550 ",Apartment,90401
"$1,755 ","$1,975 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,755'}, {'bedroom_type': '2 Beds', 'price': '$1,975'}, {'bedroom_type': '3 Beds', 'price': None}]",Riverside,"7450 Northrop Dr, Riverside, CA 92508",Mission Grove Park,https://www.apartments.com/mission-grove-park-riverside-ca/tee7leb/,CA,,Apartment,92508
"$1,065 ","$1,237 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,065'}, {'bedroom_type': '2 Beds', 'price': '$1,237'}, {'bedroom_type': '3 Beds', 'price': None}]",Hemet,"3030 W Acacia Ave, Hemet, CA 92545",Shadow Canyon,https://www.apartments.com/shadow-canyon-hemet-ca/q2hwzpy/,CA,,Apartment,92545
"$1,640 ","$1,920 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,640'}, {'bedroom_type': '2 Beds', 'price': '$1,920'}]",Vallejo,"1107 Porter St, Vallejo, CA 94590",Bay Village,https://www.apartments.com/bay-village-vallejo-ca/mj77l4l/,CA,,Apartment,94590
"$2,450 ","$2,895 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,450'}, {'bedroom_type': '2 Beds', 'price': '$2,895'}]",Sunnyvale,"1180 Lochinvar Ave, Sunnyvale, CA 94087",The Crossings,https://www.apartments.com/the-crossings-sunnyvale-ca/yy7sr2s/,CA,,Apartment,94087
"$2,610 ","$3,250 ",,,"[{'bedroom_type': '1 Bed', 'price': '$2,610'}, {'bedroom_type': '2 Beds', 'price': '$3,250'}]",San Francisco,"5880 3rd St, San Francisco, CA 94124",Waterbend Apartments,https://www.apartments.com/waterbend-apartments-san-francisco-ca/l7w7epd/,CA,,Apartment,94124
"$1,540 ","$1,805 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,270'}, {'bedroom_type': '1 Bed', 'price': '$1,540'}, {'bedroom_type': '2 Beds', 'price': '$1,805'}]",Escondido,"1501 E Grand Ave, Escondido, CA 92027",Solana at Grand,https://www.apartments.com/solana-at-grand-escondido-ca/gp0gp1y/,CA,"$1,270 ",Apartment,92027
"$1,901 ","$2,301 ",,,"[{'bedroom_type': '1 Bed', 'price': '$1,901'}, {'bedroom_type': '2 Beds', 'price': '$2,301'}]",La Mesa,"8707-8747 Fletcher Pky, La Mesa, CA 91942",Alterra & Pravada Apartments,https://www.apartments.com/alterra-pravada-apartments-la-mesa-ca/sjp3jp4/,CA,,Apartment,91942
