1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,"$2,600",,,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]",Carson,"Carson, CA 90746",12 Month Lease,https://www.apartments.com/403-e-victoria-st-carson-ca/9vsnfz7/,"1,200","1,200 Sq Ft",CA,Townhomes,90746
,"$2,995",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]",Milpitas,"Milpitas, CA 95035",,https://www.apartments.com/1506-cherry-cir-milpitas-ca/pw1292r/,910,910 Sq Ft,CA,Townhomes,95035
,,"$7,950",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$7,950'}]",Beverly Hills,"Beverly Hills, CA 90210",,https://www.apartments.com/9321-burton-way-beverly-hills-ca/sqzhjj6/,"2,123","2,123 Sq Ft",CA,Townhomes,90210
,,,"$3,000",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,000'}]",San Luis Obispo,"San Luis Obispo, CA 93405",,https://www.apartments.com/1732-singletree-ct-san-luis-obispo-ca/m87enwk/,"1,846","1,846 Sq Ft",CA,Townhomes,93405
,,"$3,100",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,100'}]",Ladera Ranch,"Ladera Ranch, CA 92694",12 Month Lease,https://www.apartments.com/23-harwick-ct-ladera-ranch-ca/1qfcdx6/,"1,525","1,525 Sq Ft",CA,Townhomes,92694
,,"$3,200",,,Nov 1,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]",Danville,"Danville, CA 94506",12 Month Lease,https://www.apartments.com/33-maximo-ct-danville-ca/376gn5e/,"1,598","1,598 Sq Ft",CA,Townhomes,94506
,,,"$6,000",,Available Now,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$6,000'}]",San Diego,"San Diego, CA 92037",12 Month Lease,https://www.apartments.com/8746-caminito-sueno-san-diego-ca/7x282qy/,"1,824","1,824 Sq Ft",CA,Townhomes,92037
,"$2,300",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]",Anaheim,"Anaheim, CA 92801",,https://www.apartments.com/2697-w-plum-tree-ln-anaheim-ca/cxktf8g/,900,900 Sq Ft,CA,Townhomes,92801
,"$2,395",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]",Anaheim,"Anaheim, CA 92802",12 Month Lease,https://www.apartments.com/211-e-ponderosa-ln-anaheim-ca/2tlmc3c/,"1,268","1,268 Sq Ft",CA,Townhomes,92802
,"$1,400",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$1,400'}]",Stockton,"Stockton, CA 95207",,https://www.apartments.com/12-marilyn-ave-stockton-ca/bdwedrc/,850,850 Sq Ft,CA,Townhomes,95207
,,"$4,300",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,300'}]",San Mateo,"San Mateo, CA 94401",,https://www.apartments.com/358-e-bellevue-ave-san-mateo-ca/xprzn7m/,"1,500","1,500 Sq Ft",CA,Townhomes,94401
,"$4,000",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]",Los Angeles,"Los Angeles, CA 91401",,https://www.apartments.com/5224-lennox-ave-los-angeles-ca/r0lj7v0/,"1,100","1,100 Sq Ft",CA,Townhomes,91401
,"$2,295",,,,Available Now,1 BA,"[{'bedroom_type': '2 Beds', 'price': '$2,295'}]",San Jose,"San Jose, CA 95116",,https://www.apartments.com/1776-beverly-blvd-san-jose-ca/xfr1m6q/,900,900 Sq Ft,CA,Townhomes,95116
,,"$2,400",,,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",Santa Clarita,"Santa Clarita, CA 91354",12 Month Lease,https://www.apartments.com/27271-riverview-ln-santa-clarita-ca/wtjh9nl/,"1,330","1,330 Sq Ft",CA,Townhomes,91354
,,"$6,300",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,300'}]",Los Angeles,"Los Angeles, CA 90292",12 Month Lease,https://www.apartments.com/310-washington-blvd-los-angeles-ca/m2mpmtl/,"1,960","1,960 Sq Ft",CA,Townhomes,90292
,,"$2,950",,,Nov 1,1½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]",Newark,"Newark, CA 94560",12 Month Lease,https://www.apartments.com/6834-jarvis-ave-newark-ca/c5t0ysg/,"1,131","1,131 Sq Ft",CA,Townhomes,94560
,,"$1,625",,,Nov 7,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$1,625'}]",Antelope,"Antelope, CA 95843",,https://www.apartments.com/7629-roberta-ln-antelope-ca/smp25s4/,"1,368","1,368 Sq Ft",CA,Townhomes,95843
,"$2,995",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,995'}]",Cupertino,"Cupertino, CA 95014",12 Month Lease,https://www.apartments.com/19450-richwood-ct-cupertino-ca/b5cp2vb/,"1,209","1,209 Sq Ft",CA,Townhomes,95014
,"$3,300",,,,Available Now,1½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]",Los Angeles,"Los Angeles, CA 90019",12 Month Lease,https://www.apartments.com/1042-masselin-ave-los-angeles-ca/mg1lb5l/,"1,350","1,350 Sq Ft",CA,Townhomes,90019
,"$2,850",,,,Nov 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,850'}]",San Jose,"San Jose, CA 95112",12 Month Lease,https://www.apartments.com/350-n-2nd-st-san-jose-ca/gv3tvwy/,"1,238","1,238 Sq Ft",CA,Townhomes,95112
