Bath,Bed,City,Full_address,HOA,House_type,House_website,Listing_type,Lot,Lot_conversion_to_sqft,Parking,Price,Rent_zestimate,Square_Feet,State,Street,Year_build,Zestimate,Zillow_price/sqft,Zip_code
2,3,Boulevard:Downing,"Residence One Plan, Boulevard : Downing",null,Townhouse,https://www.zillow.com/community/boulevard-downing/2083235819_zpid/,New construction,No Data,null,2 spaces,"$831,880+",null,"1,618",null,Residence One Plan,2020,null,$514,null
2,2,GreatParkNeighborhoods:ChorusatCadencePark,"Residence 1 Plan, Great Park Neighborhoods : Chorus at Cadence Park",null,Townhouse,https://www.zillow.com/community/great-park-neighborhoods-chorus-at-cadence-park/2087738181_zpid/,New construction,No Data,null,2 spaces,"$744,990+",null,"1,653",null,Residence 1 Plan,2020,null,$451,null
2,1,FlatsatMetro,"Plan 2 Plan, Flats at Metro",null,Townhouse,https://www.zillow.com/community/flats-at-metro/2080562719_zpid/,New construction,No Data,null,1 space,"$723,990+",null,"1,072",null,Plan 2 Plan,2020,null,$675,null
4,3,Estancia,"Residence 9B Enhanced Plan, Estancia",null,Townhouse,https://www.zillow.com/community/estancia/2080747470_zpid/,New construction,No Data,null,No Data,"$1,869,880+",null,"2,008",null,Residence 9B Enhanced Plan,2020,null,$931,null
2,2,BuenaPark,"8175 Woodland Dr #50, Buena Park, CA 90620",$265/month,Townhouse,https://www.zillow.com/homedetails/8175-Woodland-Dr-50-Buena-Park-CA-90620/25667046_zpid/,Townhouse for sale,No Data,null,3 spaces,"$425,000","$2,200/mo","1,039",CA,8175 Woodland Dr #50,1979,"$425,007",$409,90620
3,2,RedwoodCity,"837 Intrepid Ln, Redwood City, CA 94065",$495/month,Townhouse,https://www.zillow.com/homedetails/837-Intrepid-Ln-Redwood-City-CA-94065/2080364279_zpid/,Townhouse for sale,11.81 acres,514443.6,2 spaces,"$1,588,000",null,"1,650",CA,837 Intrepid Ln,1989,null,$962,94065
3,3,Boulevard:Skyline,"RESIDENCE FOUR Plan, Boulevard : Skyline",null,Townhouse,https://www.zillow.com/community/boulevard-skyline/2082037851_zpid/,New construction,No Data,null,2 spaces,"$820,000+",null,"2,178",null,RESIDENCE FOUR Plan,2020,null,$376,null
3,4,SanJose,"228 Vista Roma Way, San Jose, CA 95136",$341/month,Townhouse,https://www.zillow.com/homedetails/228-Vista-Roma-Way-San-Jose-CA-95136/64775496_zpid/,Townhouse for sale,"3,031 sqft",3031.0,2 spaces,"$899,000","$3,600/mo","1,878",CA,228 Vista Roma Way,2004,"$953,301",$479,95136
3,2,Claremont,"1038 Newberry Ln, Claremont, CA",$273/month,Townhouse,https://www.zillow.com/homedetails/1038-Newberry-Ln-Claremont-CA-91711/2082698476_zpid/,New construction,No Data,null,2 spaces,"$448,999",null,"1,212",CA,1038 Newberry Ln,2020,null,$370,null
3,3,Fremont,"41009 Cornac Ter, Fremont, CA 94539",$285/month,Townhouse,https://www.zillow.com/homedetails/41009-Cornac-Ter-Fremont-CA-94539/25032108_zpid/,Townhouse for sale,"1,219 sqft",1219.0,2 spaces,"$1,049,800","$3,371/mo","1,328",CA,41009 Cornac Ter,1972,"$1,103,844",$791,94539
