City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,5 Beds
Los Angeles,Townhomes,CA,90033,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Los Angeles, CA 90033",https://www.apartments.com/527-n-cummings-st-los-angeles-ca/2b713t8/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$2,15",,,
Santa Monica,Townhomes,CA,90404,"[{'bedroom_type': '3 Beds', 'price': '$3,95'}]","1528 Berkeley St, Santa Monica, CA 90404",https://www.apartments.com/1528-berkeley-st-santa-monica-ca/t81spxc/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$3,95",,,,
Santa Monica,Townhomes,CA,90403,"[{'bedroom_type': '2 Beds', 'price': '$3,80'}]","Santa Monica, CA 90403",https://www.apartments.com/2524-montana-ave-santa-monica-ca/bkfg8xc/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$3,80",,,
Walnut Creek,Townhomes,CA,94597,"[{'bedroom_type': '2 Beds', 'price': '$3,75'}]","Walnut Creek, CA 94597",https://www.apartments.com/443-via-royal-walnut-creek-ca/xnz3z9m/,2½ BAs,"1,438 Sq Ft","1,438",12 Month Lease,Available Now,,"$3,75",,,
Mountain View,Townhomes,CA,94040,"[{'bedroom_type': '2 Beds', 'price': '$4,25'}]","Mountain View, CA 94040",https://www.apartments.com/428-baywood-ct-mountain-view-ca/7fmebfw/,2½ BAs,"1,240 Sq Ft","1,240",12 Month Lease,Available Now,,"$4,25",,,
Los Angeles,Townhomes,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","Los Angeles, CA 90027",https://www.apartments.com/1409-n-edgemont-st-los-angeles-ca/k6mmz58/,1 BA,350 Sq Ft,350,6 Month Lease,Oct 5,,,,"$1,55",
Brea,Townhomes,CA,92821,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","Brea, CA 92821",https://www.apartments.com/1666-honeywood-ct-brea-ca/m4x5y5k/,2½ BAs,"1,302 Sq Ft","1,302",,Available Now,"$2,70",,,,
Los Altos,Townhomes,CA,94022,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","Los Altos, CA 94022",https://www.apartments.com/65-alvarado-ave-los-altos-ca/zgwb0rx/,1 BA,500 Sq Ft,500,6 Month Lease,Nov 1,,,,"$2,80",
Riverside,Townhomes,CA,92507,"[{'bedroom_type': '4 Beds', 'price': '$2,50'}]","Riverside, CA 92507",https://www.apartments.com/871-via-sierra-nevada-via-riverside-ca/kq9nvp8/,2 BAs,"1,850 Sq Ft","1,850",,Available Now,,,"$2,50",,
Los Angeles,Townhomes,CA,91356,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","Los Angeles, CA 91356",https://www.apartments.com/5642-corbin-ave-los-angeles-ca/r1j8mc2/,2 BAs,850 Sq Ft,850,1 Month Lease,Available Now,,"$4,50",,,
San Jose,Townhomes,CA,95112,"[{'bedroom_type': '2 Beds', 'price': '$3,39'}]","San Jose, CA 95112",https://www.apartments.com/727-modern-ice-dr-san-jose-ca/w1h8etl/,2½ BAs,"1,288 Sq Ft","1,288",,Available Now,,"$3,39",,,
San Marcos,Townhomes,CA,92078,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","San Marcos, CA 92078",https://www.apartments.com/1256-san-elijo-rd-n-san-marcos-ca/p250mvv/,3½ BAs,"1,651 Sq Ft","1,651",,Available Now,"$2,90",,,,
