City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,6 Beds,5 Beds
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '4 Beds', 'price': '$6,20'}]","Los Angeles, CA 90066",https://www.apartments.com/4136-lyceum-ave-los-angeles-ca/4hrvx6h/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$6,20",,,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$3,19'}]","Los Angeles, CA 90291",https://www.apartments.com/2230-penmar-ave-los-angeles-ca/gvb8tqy/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$3,19",,,,,
Mammoth Lakes,Houses,CA,93546,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","Mammoth Lakes, CA 93546",https://www.apartments.com/3-larkspur-ln-mammoth-lakes-ca/egex88q/,2 BAs,"1,400 Sq Ft","1,400",,Dec 1,"$5,50",,,,,,
Los Gatos,Houses,CA,95033,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Los Gatos, CA 95033",https://www.apartments.com/17958-redwood-dr-los-gatos-ca/2m7j31b/,1 BA,425 Sq Ft,425,6 Month Lease,Available Now,,,,"$1,70",,,
Los Angeles,Houses,CA,90041,"[{'bedroom_type': '1 Bed', 'price': '$1,15'}]","1577 Chickasaw Ave, Los Angeles, CA 90041",https://www.apartments.com/1577-chickasaw-ave-los-angeles-ca/gm78qhx/,1 BA,200 Sq Ft,200,,Available Now,,,,"$1,15",,,
San Diego,Houses,CA,92113,"[{'bedroom_type': '1 Bed', 'price': '$1,44'}]","San Diego, CA 92113",https://www.apartments.com/2075-harrison-ave-san-diego-ca/kq7tlbb/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,,,"$1,44",,,
Richmond,Houses,CA,94804,"[{'bedroom_type': '3 Beds', 'price': '$2,57'}]","Richmond, CA 94804",https://www.apartments.com/237-s-3rd-st-richmond-ca/12gs3c4/,1½ BAs,"1,475 Sq Ft","1,475",12 Month Lease,Available Now,"$2,57",,,,,,
Westminster,Houses,CA,92683,"[{'bedroom_type': '3 Beds', 'price': '$5,20'}]","Westminster, CA 92683",https://www.apartments.com/14331-cedarwood-st-westminster-ca/nrnvhmm/,2 BAs,"1,500 Sq Ft","1,500",1 Month Lease,Available Now,"$5,20",,,,,,
Oakland,Houses,CA,94608,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","Oakland, CA 94608",https://www.apartments.com/1038-62nd-st-oakland-ca/6vny14s/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,"$3,99",,,,,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","10947 S Van Ness Ave, Inglewood, CA 90303",https://www.apartments.com/10947-s-van-ness-ave-inglewood-ca/dfy9j3k/,2 BAs,"1,201 Sq Ft","1,201",12 Month Lease,Nov 1,"$3,00",,,,,,
Los Angeles,Houses,CA,90004,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","Los Angeles, CA 90004",https://www.apartments.com/4503-rosewood-ave-los-angeles-ca/0m6xnw2/,1 BA,"1,488 Sq Ft","1,488",12 Month Lease,Available Now,"$2,80",,,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$3,90'}]","Los Angeles, CA 90066",https://www.apartments.com/3909-mclaughlin-ave-los-angeles-ca/9wdvk06/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,90",,,,,
