City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,4 Beds,1 Bed,Studio,3 Beds
Fresno,Condos,CA,93705,"[{'bedroom_type': '2 Beds', 'price': '$90'}]","Fresno, CA 93705",https://www.apartments.com/3840-n-fruit-ave-fresno-ca/p1cx14t/,1½ BAs,990 Sq Ft,990,12 Month Lease,Available Now,$90,,,,
Whittier,Condos,CA,90601,"[{'bedroom_type': '1 Bed', 'price': '$1,49'}]","6339 Friends Ave, Whittier, CA 90601",https://www.apartments.com/6339-friends-ave-whittier-ca/j07k374/,1 BA,1 Sq Ft,1,12 Month Lease,Available Now,,,"$1,49",,
Pleasanton,Condos,CA,94588,"[{'bedroom_type': '3 Beds', 'price': '$2,85'}]","Pleasanton, CA 94588",https://www.apartments.com/8055-mountain-view-dr-pleasanton-ca-unit-b/h80pn72/,2 BAs,"1,257 Sq Ft","1,257",12 Month Lease,Oct 17,,,,,"$2,85"
Morro Bay,Condos,CA,93442,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Morro Bay, CA 93442",https://www.apartments.com/395-surf-st-morro-bay-ca/8cljzx0/,2 BAs,"1,178 Sq Ft","1,178",12 Month Lease,Available Now,"$2,20",,,,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$3,38'}]","San Mateo, CA 94403",https://www.apartments.com/1301-palos-verdes-dr-san-mateo-ca/4vmy8zl/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,38",,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","Morgan Hill, CA 95037",https://www.apartments.com/16730-barnell-ave-morgan-hill-ca/m1vfg4h/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$3,00",,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","Morgan Hill, CA 95037",https://www.apartments.com/16730-barnell-ave-morgan-hill-ca/rkxy1z1/,1½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$2,90",,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '2 Beds', 'price': '$2,90'}]","Morgan Hill, CA 95037",https://www.apartments.com/16730-barnell-ave-morgan-hill-ca/2wertkc/,1½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,90",,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Morgan Hill, CA 95037",https://www.apartments.com/16730-barnell-ave-morgan-hill-ca/0metbl3/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,60",,
Saratoga,Condos,CA,95070,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Saratoga, CA 95070",https://www.apartments.com/14301-saratoga-ave-saratoga-ca/bl4546c/,2½ BAs,"1,050 Sq Ft","1,050",1 Month Lease,Available Now,"$3,40",,,,
Oakland,Condos,CA,94609,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Oakland, CA 94609",https://www.apartments.com/5303-martin-luther-king-jr-way-oakland-ca/7qchsyz/,1 BA,"1,001 Sq Ft","1,001",12 Month Lease,Available Now,"$2,00",,,,
Torrance,Condos,CA,90501,"[{'bedroom_type': '1 Bed', 'price': '$1,49'}]","2270 Sepulveda Blvd, Torrance, CA 90501",https://www.apartments.com/2270-sepulveda-blvd-torrance-ca/jq8vnl6/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,"$1,49",,
Upland,Condos,CA,91786,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Upland, CA 91786",https://www.apartments.com/780-n-1st-ave-upland-ca/7jdngby/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$1,35",,
Gardena,Condos,CA,90247,"[{'bedroom_type': '2 Beds', 'price': '$1,60'}]","1617 W 147th St, Gardena, CA 90247",https://www.apartments.com/1617-w-147th-st-gardena-ca/jg48015/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,60",,,,
Lomita,Condos,CA,90717,"[{'bedroom_type': '2 Beds', 'price': '$2,15'}]","Lomita, CA 90717",https://www.apartments.com/1715-259th-st-lomita-ca/561gm4q/,1 BA,"1,083 Sq Ft","1,083",12 Month Lease,Available Now,"$2,15",,,,
Los Angeles,Condos,CA,90731,"[{'bedroom_type': '2 Beds', 'price': '$1,97'}]","Los Angeles, CA 90731",https://www.apartments.com/612-w-26th-st-los-angeles-ca/s4lksf5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,97",,,,
