Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													1 Bed
															–
2 Beds											","
													1 Bed
															–
3 Beds											"
Artisan Apartments at East Village,Oxnard,Apartment,CA,93036,"[{'bedroom_type': '1 Bed', 'price': '$1,874'}, {'bedroom_type': '2 Beds', 'price': '$2,542'}, {'bedroom_type': '3 Beds', 'price': ''}]","2060 Zocolo St, Oxnard, CA 93036",https://www.apartments.com/artisan-apartments-at-east-village-oxnard-ca/1jtjvj6/,,"$1,874","$2,542",,,,
The Fountains at Point West Apartments,Sacramento,Apartment,CA,95815,"[{'bedroom_type': 'Studio', 'price': '$1,246'}, {'bedroom_type': '1 Bed', 'price': '$1,447'}, {'bedroom_type': '2 Beds', 'price': '$1,868'}, {'bedroom_type': '3 Beds', 'price': ''}]","1761 Heritage Ln, Sacramento, CA 95815",https://www.apartments.com/the-fountains-at-point-west-apartments-sacramento-ca/b4rgfkb/,"$1,246","$1,447","$1,868",,,,
Theatre Square Apartments,Petaluma,Apartment,CA,94952,"[{'bedroom_type': 'Studio', 'price': '$1,995'}, {'bedroom_type': '1 Bed', 'price': '$2,080'}, {'bedroom_type': '2 Beds', 'price': '$2,460'}, {'bedroom_type': '3 Beds', 'price': ''}]","101 2nd St, Petaluma, CA 94952",https://www.apartments.com/theatre-square-apartments-petaluma-ca/8vm8gk0/,"$1,995","$2,080","$2,460",,,,
Tralee Village,Dublin,Apartment,CA,94568,"[{'bedroom_type': '1 Bed', 'price': '$2,105'}, {'bedroom_type': '2 Beds', 'price': '$2,660'}, {'bedroom_type': '3 Beds', 'price': ''}]","6601 Dublin Blvd, Dublin, CA 94568",https://www.apartments.com/tralee-village-dublin-ca/ktegrr9/,,"$2,105","$2,660",,,,
Concord Square Apartments,Reseda,Apartment,CA,91335,"[{'bedroom_type': 'Studio', 'price': '$1,481'}, {'bedroom_type': '1 Bed', 'price': '$1,749'}, {'bedroom_type': '2 Beds', 'price': '$2,069'}]","18014 Sherman Way, Reseda, CA 91335",https://www.apartments.com/concord-square-apartments-reseda-ca/ehgljyn/,"$1,481","$1,749","$2,069",,,,
Del Flora Apartments,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': '$1,475'}, {'bedroom_type': '2 Beds', 'price': '$1,859'}]","30598-30644 Independence Ave, Redlands, CA 92374",https://www.apartments.com/del-flora-apartments-redlands-ca/ttbldfc/,,"$1,475","$1,859",,,,
Creekside Alta Loma,Rancho Cucamonga,Apartment,CA,91737,"[{'bedroom_type': '1 Bed', 'price': '$1,727'}, {'bedroom_type': '2 Beds', 'price': '$2,002'}, {'bedroom_type': '3 Beds', 'price': ''}]","10757 Lemon Ave, Rancho Cucamonga, CA 91737",https://www.apartments.com/creekside-alta-loma-rancho-cucamonga-ca/22dm7cb/,,"$1,727","$2,002",,,,
Village of Taxco,San Jose,Apartment,CA,95128,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,040'}, {'bedroom_type': '2 Beds', 'price': '$2,635'}]","1324 S Winchester, San Jose, CA 95128",https://www.apartments.com/village-of-taxco-san-jose-ca/3hjk1me/,,"$2,040","$2,635",,,,
El Gato Penthouse,Los Gatos,Apartment,CA,95030,"[{'bedroom_type': '1 Bed', 'price': '$2,750'}]","20 E Main St, Los Gatos, CA 95030",https://www.apartments.com/el-gato-penthouse-los-gatos-ca/vgcg4pg/,,"$2,750",,,,,
The Hills,Orangevale,Apartment,CA,95662,"[{'bedroom_type': '1 Bed', 'price': '$1,389'}, {'bedroom_type': '2 Beds', 'price': '$1,660'}]","9201 Madison Ave, Orangevale, CA 95662",https://www.apartments.com/the-hills-orangevale-ca/1n2ss77/,,"$1,389","$1,660",,,,
Vicino,Lakewood,Apartment,CA,90715,"[{'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': '$2,045'}, {'bedroom_type': '3 Beds', 'price': '$2,420'}]","12350 Del Amo Blvd, Lakewood, CA 90715",https://www.apartments.com/vicino-lakewood-ca/dkq7dmh/,,"$1,830","$2,045","$2,420",,,
