City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,Studio,2 Beds,3 Beds,5 Beds,4 Beds
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","Los Angeles, CA 90066",https://www.apartments.com/4276-s-centinela-ave-los-angeles-ca/z2e6hhx/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$3,35",,
Los Angeles,Condos,CA,90031,"[{'bedroom_type': 'Studio', 'price': '$1,49'}]","Los Angeles, CA 90031",https://www.apartments.com/2116-keith-st-los-angeles-ca/p8zjxgv/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,49",,,,
Redwood City,Condos,CA,94061,"[{'bedroom_type': '2 Beds', 'price': '$3,49'}]","Redwood City, CA 94061",https://www.apartments.com/1567-regent-st-redwood-city-ca-unit-202/c3j0hed/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,49",,,
Los Angeles,Condos,CA,90027,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Los Angeles, CA 90027",https://www.apartments.com/5410-russell-ave-los-angeles-ca/t2c7648/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,59",,,,,
Los Angeles,Condos,CA,91335,"[{'bedroom_type': 'Studio', 'price': '$1,40'}]","Los Angeles, CA 91335",https://www.apartments.com/19443-haynes-st-los-angeles-ca/9sfmep7/,1 BA,420 Sq Ft,420,12 Month Lease,Oct 4,,"$1,40",,,,
Los Angeles,Condos,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$1,95'}]","Los Angeles, CA 91364",https://www.apartments.com/22005-alizondo-dr-los-angeles-ca/cclnzgg/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,95",,,,,
Redondo Beach,Condos,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","Redondo Beach, CA 90277",https://www.apartments.com/720-s-elvira-ave-redondo-beach-ca/gqe36hw/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$3,09",,,
Burbank,Condos,CA,91501,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","Burbank, CA 91501",https://www.apartments.com/500-n-6th-st-burbank-ca/1z18cq5/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$1,75",,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,75'}]","520 Kelton Ave, Los Angeles, CA 90024",https://www.apartments.com/520-kelton-ave-los-angeles-ca/esh0pzp/,2 BAs,908 Sq Ft,908,12 Month Lease,Available Now,,,"$3,75",,,
Walnut Creek,Condos,CA,94596,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Walnut Creek, CA 94596",https://www.apartments.com/420-n-civic-dr-walnut-creek-ca-unit-407/pzxpg6v/,2 BAs,"1,080 Sq Ft","1,080",12 Month Lease,Available Now,,,"$2,50",,,
Sacramento,Condos,CA,95821,"[{'bedroom_type': 'Studio', 'price': '$80'}]","Sacramento, CA 95821",https://www.apartments.com/3010-tioga-way-sacramento-ca/cf8wfpe/,1 BA,250 Sq Ft,250,1 Month Lease,Available Now,,$80,,,,
Long Beach,Condos,CA,90807,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Long Beach, CA 90807",https://www.apartments.com/418-e-freeland-st-long-beach-ca/gln940z/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,,"$1,80",,,
Escondido,Condos,CA,92025,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","Escondido, CA 92025",https://www.apartments.com/1415-s-broadway-escondido-ca/zl8ylbz/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,50",,,,,
Hercules,Condos,CA,94547,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","Hercules, CA 94547",https://www.apartments.com/164-glenwood-hercules-ca-unit-2/k03sqe8/,1 BA,688 Sq Ft,688,12 Month Lease,Oct 4,"$1,99",,,,,
Monterey Park,Condos,CA,91754,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Monterey Park, CA 91754",https://www.apartments.com/411-s-garfield-ave-monterey-park-ca/dyj4s6h/,2 BAs,862 Sq Ft,862,12 Month Lease,Available Now,,,"$1,80",,,
San Diego,Condos,CA,92110,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","San Diego, CA 92110",https://www.apartments.com/3893-harney-st-san-diego-ca/82nk8b2/,1 BA,590 Sq Ft,590,12 Month Lease,Available Now,,,"$1,50",,,
Clovis,Condos,CA,93612,"[{'bedroom_type': '2 Beds', 'price': '$1,30'}]","Clovis, CA 93612",https://www.apartments.com/1509-willow-ave-clovis-ca/29ej7qc/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Oct 11,,,"$1,30",,,
San Jose,Condos,CA,95112,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","San Jose, CA 95112",https://www.apartments.com/952-s-11th-st-san-jose-ca-unit-128/ejtkmsn/,2 BAs,"1,277 Sq Ft","1,277",12 Month Lease,Available Now,,,"$2,60",,,
