City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,4 Beds,2 Beds,3 Beds,1 Bed,Studio,5 Beds,1 – 3 Beds,6 Beds
Thousand Palms,Houses,CA,92276,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","Thousand Palms, CA 92276",https://www.apartments.com/73717-broadmoor-dr-thousand-palms-ca/1826ge6/,2 BAs,"1,400 Sq Ft","1,400",3 Month Lease,Jan 1,,"$2,49",,,,,,
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Los Angeles, CA 91335",https://www.apartments.com/8153-tunney-ave-los-angeles-ca/rf6f180/,2 BAs,"1,296 Sq Ft","1,296",12 Month Lease,Available Now,,,"$3,80",,,,,
Los Angeles,Houses,CA,90291,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","1315 6th Ave, Los Angeles, CA 90291",https://www.apartments.com/1315-6th-ave-los-angeles-ca/ww2qvfj/,1 BA,808 Sq Ft,808,12 Month Lease,Available Now,,"$4,00",,,,,,
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': '4 Beds', 'price': '$7,00'}]","Beverly Hills, CA 90212",https://www.apartments.com/324-s-canon-dr-beverly-hills-ca/ljjn30e/,3½ BAs,"3,000 Sq Ft","3,000",3 Month Lease,Available Now,"$7,00",,,,,,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '3 Beds', 'price': '$4,97'}]","Hermosa Beach, CA 90254",https://www.apartments.com/817-manhattan-ave-hermosa-beach-ca/3kfthse/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$4,97",,,,,
Monterey Park,Houses,CA,91755,"[{'bedroom_type': '3 Beds', 'price': '$1,85'}]","Monterey Park, CA 91755",https://www.apartments.com/505-n-new-ave-monterey-park-ca/3ttg2qd/,1 BA,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,"$1,85",,,,,
San Jose,Houses,CA,95117,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","San Jose, CA 95117",https://www.apartments.com/825-coakley-dr-san-jose-ca/j3rjlc4/,3 BAs,"2,450 Sq Ft","2,450",12 Month Lease,Available Now,"$4,30",,,,,,,
Glendale,Houses,CA,91206,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","Glendale, CA 91206",https://www.apartments.com/1125-n-verdugo-rd-glendale-ca/dx2khhh/,1 BA,860 Sq Ft,860,12 Month Lease,Available Now,,"$2,80",,,,,,
Reseda,Houses,CA,91335,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","Reseda, CA 91335",https://www.apartments.com/7502-yarmouth-ave-reseda-ca/k6gq6mc/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$1,80",,,,
Richmond,Houses,CA,94801,"[{'bedroom_type': '4 Beds', 'price': '$2,60'}]","Richmond, CA 94801",https://www.apartments.com/167-17th-st-richmond-ca/0elbwn1/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$2,60",,,,,,,
Redwood City,Houses,CA,94063,"[{'bedroom_type': '1 Bed', 'price': '$2,95'}]","Redwood City, CA 94063",https://www.apartments.com/727-elm-st-redwood-city-ca/yccezbs/,1 BA,700 Sq Ft,700,1 Month Lease,Available Now,,,,"$2,95",,,,
Redwood City,Houses,CA,94061,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","Redwood City, CA 94061",https://www.apartments.com/1512-w-selby-ln-redwood-city-ca/19p2gz7/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$4,75",,,,,
Los Altos,Houses,CA,94024,"[{'bedroom_type': '4 Beds', 'price': '$5,40'}]","Los Altos, CA 94024",https://www.apartments.com/518-paco-dr-los-altos-ca/ycwjl4r/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Oct 5,"$5,40",,,,,,,
Pasadena,Houses,CA,91105,"[{'bedroom_type': '1 – 3 Beds', 'price': '$2,800'}]","Pasadena, CA 91105",https://www.apartments.com/448-laguna-rd-pasadena-ca/390d8kf/,1 BA,500 Sq Ft,500,6 Month Lease,Available Now,,,,,,,"$2,800",
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$3,79'}]","10936 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10936-otsego-st-north-hollywood-ca/mckt7cl/,2 BAs,"1,585 Sq Ft","1,585",,Available Now,,,"$3,79",,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","10800 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10800-otsego-st-north-hollywood-ca/ymd4kxs/,1 BA,"1,157 Sq Ft","1,157",12 Month Lease,Available Now,,"$2,99",,,,,,
Guerneville,Houses,CA,95446,"[{'bedroom_type': '3 Beds', 'price': '$4,95'}]","Guerneville, CA 95446",https://www.apartments.com/14025-solaridge-rd-guerneville-ca/5ntvz4q/,2½ BAs,"1,894 Sq Ft","1,894",6 Month Lease,Nov 15,,,"$4,95",,,,,
San Francisco,Houses,CA,94116,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","San Francisco, CA 94116",https://www.apartments.com/2119-29th-ave-san-francisco-ca/7sxz8dx/,1½ BAs,"1,300 Sq Ft","1,300",,Available Now,,,"$3,90",,,,,
Los Angeles,Houses,CA,90064,"[{'bedroom_type': 'Studio', 'price': '$2,29'}]","Los Angeles, CA 90064",https://www.apartments.com/2328-manning-ave-los-angeles-ca/n9nc5jn/,1 BA,400 Sq Ft,400,6 Month Lease,Available Now,,,,,"$2,29",,,
Los Angeles,Houses,CA,90006,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Los Angeles, CA 90006",https://www.apartments.com/1818-s-harvard-blvd-los-angeles-ca/z3fdj0z/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Oct 15,,,"$3,50",,,,,
Oakland,Houses,CA,94621,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","Oakland, CA 94621",https://www.apartments.com/6327-e-17th-st-oakland-ca/2hb44f8/,2 BAs,"1,126 Sq Ft","1,126",12 Month Lease,Available Now,,,"$3,40",,,,,
Oakland,Houses,CA,94608,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","Oakland, CA 94608",https://www.apartments.com/1094-aileen-st-oakland-ca/mwkmxbl/,1 BA,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,,"$2,60",,,,,
Los Angeles,Houses,CA,91402,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","Los Angeles, CA 91402",https://www.apartments.com/8163-varna-ave-los-angeles-ca/k4mq349/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,30",,,,
