Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Zillow_price/sqft,House_website
,"$493,000","2424 Teaberry Gln, Escondido, CA 92027",2424 Teaberry Gln,Escondido,CA,92027,3,2,"1,254","3,977 sqft",3977.0,Townhouse,1984,"Garage, Covered",$175/mo,"$498,591",$393,https://www.zillow.com/homedetails/2424-Teaberry-Gln-Escondido-CA-92027/16696632_zpid/
,"$621,880","306 Placemark, Irvine, CA 92614",306 Placemark,Irvine,CA,92614,2,3,"1,076","2,000 sqft",2000.0,Townhouse,2020,"Garage - Attached, Covered",$266/mo,null,$578,https://www.zillow.com/homedetails/306-Placemark-Irvine-CA-92614/2077309745_zpid/
,"$1,299,800","531 Moreland Way, Santa Clara, CA 95054",531 Moreland Way,SantaClara,CA,95054,3,3,"1,700","2,374 sqft",2374.0,Townhouse,2004,"Garage, Garage - Attached, Covered",$375/mo,"$1,325,001",$765,https://www.zillow.com/homedetails/531-Moreland-Way-Santa-Clara-CA-95054/64486661_zpid/
,"$439,000","2640 Worden St UNIT 206, San Diego, CA 92110",2640 Worden St UNIT 206,SanDiego,CA,92110,2,2,976,12.97 Acres,564973.2,Townhouse,1969,"Off-street, Covered",$403/mo,"$443,095",$450,https://www.zillow.com/homedetails/2640-Worden-St-UNIT-206-San-Diego-CA-92110/16965688_zpid/
,"$599,000","2467 S Tapestry Way, Anaheim, CA 92802",2467 S Tapestry Way,Anaheim,CA,92802,3,3,"1,533",No Data,null,Townhouse,2018,"Garage, Garage - Attached, Covered",$289/mo,"$599,007",$391,https://www.zillow.com/homedetails/2467-S-Tapestry-Way-Anaheim-CA-92802/305286976_zpid/
,"$599,000","29436 Via Napoli, Laguna Niguel, CA 92677",29436 Via Napoli,LagunaNiguel,CA,92677,2,3,"1,362",No Data,null,Townhouse,1988,"Garage, Garage - Attached, Covered",$335/mo,"$599,265",$440,https://www.zillow.com/homedetails/29436-Via-Napoli-Laguna-Niguel-CA-92677/25699362_zpid/
,"$517,900+","Plan 6 Plan, Suwerte",Plan 6 Plan,Suwerte,null,null,4,4,"2,439",No Data,null,Townhouse,2021,Covered,$266/mo,null,$212,https://www.zillow.com/community/suwerte/2087663798_zpid/
,"$410,000","18560 Vanowen St UNIT 11, Los Angeles, CA 91335",18560 Vanowen St UNIT 11,LosAngeles,CA,91335,2,3,"1,172","1,637 sqft",1637.0,Townhouse,1979,"Garage - Attached, Covered",$245/mo,"$420,061",$350,https://www.zillow.com/homedetails/18560-Vanowen-St-UNIT-11-Los-Angeles-CA-91335/19920218_zpid/
,"$799,000","4140 Coyote Frk #4140, Truckee, CA 96161",4140 Coyote Frk #4140,Truckee,CA,96161,2,2,842,No Data,null,Townhouse,1975,0 spaces,null,null,$949,https://www.zillow.com/homedetails/4140-Coyote-Frk-4140-Truckee-CA-96161/2123865341_zpid/
,"$660,990+","Residence 1 Plan, Rosecrans Place",Residence 1 Plan,RosecransPlace,null,null,3,4,"1,690",No Data,null,Townhouse,2021,"Garage - Attached, Covered",null,null,$391,https://www.zillow.com/community/rosecrans-place/2077055029_zpid/
,"$538,000","15723 La Subida Dr APT 3, Hacienda Heights, CA 91745",15723 La Subida Dr APT 3,HaciendaHeights,CA,91745,3,3,"1,563","1,964 sqft",1964.0,Townhouse,1978,"Garage, Covered",$450/mo,"$547,607",$344,https://www.zillow.com/homedetails/15723-La-Subida-Dr-APT-3-Hacienda-Heights-CA-91745/21460332_zpid/
