Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
House for sale,"$439,999","37300 Wisteria Dr, Palmdale, CA 93551",37300 Wisteria Dr ,Palmdale,CA,93551,34.561141,-118.179075,"2,057","6,568 sqft",6568.0,Single Family,2018,2 spaces,$65/month,$214,"$444,233","$2,509/mo",https://www.zillow.com/homedetails/37300-Wisteria-Dr-Palmdale-CA-93551/250218580_zpid/
House for sale,"$769,900","4740 Kenneth Ave, Fair Oaks, CA 95628",4740 Kenneth Ave ,Fair Oaks,CA,95628,38.652259,-121.243731,"2,824",0.53 acres,23086.8,Single Family,1970,2 spaces,None,$273,"$769,904","$2,763/mo",https://www.zillow.com/homedetails/4740-Kenneth-Ave-Fair-Oaks-CA-95628/26050681_zpid/
House for sale,"$299,000","2750 Minford St, Lancaster, CA 93536",2750 Minford St ,Lancaster,CA,93536,34.693716,-118.180851,932,"6,534 sqft",6534.0,Single Family,1994,2 spaces,null,$321,"$288,032","$1,895/mo",https://www.zillow.com/homedetails/2750-Minford-St-Lancaster-CA-93536/20306136_zpid/
House for sale,"$895,000","649 61st St, Oakland, CA 94609",649 61st St ,Oakland,CA,94609,37.846164,-122.26692,"1,450","4,159 sqft",4159.0,Single Family,1908,Off street,null,$617,null,null,https://www.zillow.com/homedetails/649-61st-St-Oakland-CA-94609/24755258_zpid/
House for sale,"$910,000","5111 Titleist Way, El Dorado Hills, CA 95762",5111 Titleist Way ,El Dorado Hills,CA,95762,38.684528,-121.053009,"3,016","7,666 sqft",7666.0,Single Family,2001,3 spaces,$214/month,$302,"$910,008","$3,133/mo",https://www.zillow.com/homedetails/5111-Titleist-Way-El-Dorado-Hills-CA-95762/18620212_zpid/
House for sale,"$279,000","19861 Magnolia Ave, Nuevo, CA 92567",19861 Magnolia Ave ,Nuevo,CA,92567,33.832912,-117.119425,"1,576","9,147 sqft",9147.0,Single Family,1945,1 space,None,$177,"$279,602","$1,800/mo",https://www.zillow.com/homedetails/19861-Magnolia-Ave-Nuevo-CA-92567/17964556_zpid/
House for sale,"$495,000","4282 Keefer Rd, Chico, CA 95973",4282 Keefer Rd ,Chico,CA,95973,39.816069,-121.910545,"1,725",1.26 acres,54885.6,Single Family,1979,2 spaces,None,$287,"$495,001","$2,043/mo",https://www.zillow.com/homedetails/4282-Keefer-Rd-Chico-CA-95973/18245951_zpid/
House for sale,"$511,000","5731 W Avenue M6, Quartz Hill, CA 93536",5731 W Avenue M6 ,Quartz Hill,CA,93536,34.64031,-118.232842,"2,567",0.25 acres,10890.0,Single Family,1989,No Data,null,$199,"$438,562","$2,800/mo",https://www.zillow.com/homedetails/5731-W-Avenue-M6-Quartz-Hill-CA-93536/20277166_zpid/
House for sale,"$365,000","1017 Hampton Rd, Sacramento, CA 95864",1017 Hampton Rd ,Sacramento,CA,95864,38.583394,-121.387473,"1,168","6,098 sqft",6098.0,Single Family,1952,1 space,None,$312,"$306,727","$1,740/mo",https://www.zillow.com/homedetails/1017-Hampton-Rd-Sacramento-CA-95864/26100732_zpid/
House for sale,"$379,000","8960 Central Ave, Orangevale, CA 95662",8960 Central Ave ,Orangevale,CA,95662,38.685405,-121.222702,"1,292",0.26 acres,11325.6,Single Family,1954,2 spaces,None,$293,"$387,636","$2,000/mo",https://www.zillow.com/homedetails/8960-Central-Ave-Orangevale-CA-95662/26005265_zpid/
