Listing_type,Price,Full_address,Street,City,State,Zip_code,Latitude,Longitude,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,Hoa,Zillow_price_per_sqft,Zestimate,Rent_zestimate,House_website
Townhouse for sale,"$2,460,000","5001 Northstar Dr Apt 301, Truckee, CA 96161",5001 Northstar Dr Apt 301,Truckee,CA,96161,39.27527,-120.121069,"2,780","2,756 sqft",2756.0,Townhouse,2005,1 space,null,$885,"$2,362,822","$8,500/mo",https://www.zillow.com/homedetails/5001-Northstar-Dr-APT-301-Truckee-CA-96161/68559508_zpid/
Townhouse for sale,"$1,269,000","2203 Nelson Ave # A, Redondo Beach, CA 90278",2203 Nelson Ave # A,Redondo Beach,CA,90278,33.874994,-118.372414,"2,169","7,492 sqft",7492.0,Townhouse,1998,3 spaces,None,$585,"$1,269,005","$4,500/mo",https://www.zillow.com/homedetails/2203-Nelson-Ave-A-Redondo-Beach-CA-90278/51582165_zpid/
Townhouse for sale,"$935,000","125 Connemara Way Apt 76, Sunnyvale, CA 94087",125 Connemara Way Apt 76,Sunnyvale,CA,94087,37.34498,-122.032017,900,"1,411 sqft",1411.0,Townhouse,1971,Carport,$340/month,"$1,039","$939,274","$3,050/mo",https://www.zillow.com/homedetails/125-Connemara-Way-APT-76-Sunnyvale-CA-94087/19614445_zpid/
Townhouse for sale,"$580,000","790 Hazel Way, Pomona, CA 91767",790 Hazel Way ,Pomona,CA,91767,34.097948,-117.737216,"1,401",0.63 acres,27442.8,Townhouse,2018,2 spaces,$170/month,$414,"$580,005","$2,550/mo",https://www.zillow.com/homedetails/790-Hazel-Way-Pomona-CA-91767/247335473_zpid/
Townhouse for sale,"$629,900","921 Hollow Brook Ln # 122, Costa Mesa, CA 92626",921 Hollow Brook Ln # 122,Costa Mesa,CA,92626,33.696127,-117.89507,"1,270",No Data,null,Townhouse,1976,2 spaces,$455/month,$496,"$629,598","$2,500/mo",https://www.zillow.com/homedetails/921-Hollow-Brook-Ln-122-Costa-Mesa-CA-92626/25714833_zpid/
Townhouse for sale,"$849,000","2907 Platinum Pl, Carlsbad, CA 92009",2907 Platinum Pl ,Carlsbad,CA,92009,33.109433,-117.241746,"2,371","7,501 sqft",7501.0,Townhouse,2002,4 spaces,$195/month,$358,"$850,116","$3,400/mo",https://www.zillow.com/homedetails/2907-Platinum-Pl-Carlsbad-CA-92009/54903038_zpid/
Townhouse for sale,"$495,000","4610 Los Alamos Way Unit D, Oceanside, CA 92057",4610 Los Alamos Way Unit D,Oceanside,CA,92057,33.224806,-117.295386,"1,366",0.52 acres,22651.2,Townhouse,1995,2 spaces,$240/month,$362,"$495,001","$2,395/mo",https://www.zillow.com/homedetails/4610-Los-Alamos-Way-UNIT-D-Oceanside-CA-92057/16606629_zpid/
Townhouse for sale,"$979,000","466 Cascadita Ter, Milpitas, CA 95035",466 Cascadita Ter ,Milpitas,CA,95035,37.452026,-121.918072,"1,547",936 sqft,936.0,Townhouse,1992,2 spaces,$212/month,$633,"$980,912","$3,400/mo",https://www.zillow.com/homedetails/466-Cascadita-Ter-Milpitas-CA-95035/19472632_zpid/
Townhouse for sale,"$1,050,000","134 W Rincon Ave Apt F, Campbell, CA 95008",134 W Rincon Ave Apt F,Campbell,CA,95008,37.284443,-121.952238,"1,448",553 sqft,553.0,Townhouse,1980,1 space,$450/month,$725,"$1,051,394","$3,700/mo",https://www.zillow.com/homedetails/134-W-Rincon-Ave-APT-F-Campbell-CA-95008/19610589_zpid/
Townhouse for sale,"$540,000","422 W Route 66 Unit 16, Glendora, CA 91740",422 W Route 66 Unit 16,Glendora,CA,91740,34.128555,-117.869096,"1,620","6,873 sqft",6873.0,Townhouse,2017,2 spaces,$282/month,$333,"$540,005","$2,695/mo",https://www.zillow.com/homedetails/422-W-Route-66-UNIT-16-Glendora-CA-91740/250346519_zpid/
Townhouse for sale,"$445,000","56 Sagebrush, Coto De Caza, CA 92679",56 Sagebrush ,Coto De Caza,CA,92679,33.592213,-117.597491,988,2.3 acres,100188.0,Townhouse,1997,2 spaces,$288/month,$450,"$442,438","$2,300/mo",https://www.zillow.com/homedetails/56-Sagebrush-Coto-De-Caza-CA-92679/25751250_zpid/
Townhouse for sale,"$478,000","15050 Sherman Way Unit 233, Los Angeles, CA 91405",15050 Sherman Way Unit 233,Los angeles,CA,91405,34.20058,-118.460944,"1,586",2.06 acres,89733.6,Townhouse,1981,2 spaces,$495/month,$301,"$478,761","$2,754/mo",https://www.zillow.com/homedetails/15050-Sherman-Way-UNIT-233-Los-Angeles-CA-91405/19960824_zpid/
Townhouse for sale,"$450,000","3958 Cochran St # 62, Simi Valley, CA 93063",3958 Cochran St # 62,Simi Valley,CA,93063,34.278235,-118.718608,"1,207",871 sqft,871.0,Townhouse,1987,2 spaces,$430/month,$373,"$450,002","$2,500/mo",https://www.zillow.com/homedetails/3958-Cochran-St-62-Simi-Valley-CA-93063/16444614_zpid/
