City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio
Los Angeles,Condos,CA,90048,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","141 S Clark Dr, Los Angeles, CA 90048",https://www.apartments.com/141-s-clark-dr-los-angeles-ca-unit-110/rsr6sc3/,1 BA,700 Sq Ft,700,12 Month Lease,Aug 1,"$3,000",,,
West Hollywood,Condos,CA,90069,"[{'bedroom_type': '1 Bed', 'price': '$3,000'}]","West Hollywood, CA 90069",https://www.apartments.com/1212-n-clark-st-west-hollywood-ca/zz8n18z/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$3,000",,,
Los Angeles,Condos,CA,90064,"[{'bedroom_type': '3 Beds', 'price': '$4,595'}]","Los Angeles, CA 90064",https://www.apartments.com/2436-barry-ave-los-angeles-ca-unit-2/34172hg/,3½ BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$4,595",,
Los Angeles,Condos,CA,91367,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","5520 Owensmouth Ave, Los Angeles, CA 91367",https://www.apartments.com/5520-owensmouth-ave-los-angeles-ca-unit-108/0rhb5k2/,2 BAs,920 Sq Ft,920,12 Month Lease,Available Now,,,"$2,500",
San Francisco,Condos,CA,94109,"[{'bedroom_type': '3 Beds', 'price': '$5,250'}]","San Francisco, CA 94109",https://www.apartments.com/851-van-ness-ave-san-francisco-ca-unit-407/em0m7mn/,2 BAs,"1,240 Sq Ft","1,240",12 Month Lease,Available Now,,"$5,250",,
Lafayette,Condos,CA,94549,"[{'bedroom_type': '2 Beds', 'price': '$3,800'}]","Lafayette, CA 94549",https://www.apartments.com/3279-mt-diablo-ct-lafayette-ca-unit-1/kdfwb69/,2½ BAs,"1,332 Sq Ft","1,332",12 Month Lease,Jul 15,,,"$3,800",
Los Angeles,Condos,CA,90049,"[{'bedroom_type': '2 Beds', 'price': '$3,350'}]","11933 Goshen Ave, Los Angeles, CA 90049",https://www.apartments.com/11933-goshen-ave-los-angeles-ca-unit-102/4bm9mlh/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,350",
San Jose,Condos,CA,95129,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","San Jose, CA 95129",https://www.apartments.com/498-doyle-rd-san-jose-ca/qxnk19x/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,"$2,300",
Los Angeles,Condos,CA,90028,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}]","5705 Carlton Way, Los Angeles, CA 90028",https://www.apartments.com/5705-carlton-way-los-angeles-ca/998y8x6/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,750",,,
Los Angeles,Condos,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$4,495'}]","Los Angeles, CA 90019",https://www.apartments.com/1127-s-spaulding-ave-los-angeles-ca/qtw85nw/,3 BAs,"1,312 Sq Ft","1,312",12 Month Lease,Available Now,,"$4,495",,
