Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
Harvest in Tracy,Tracy,Apartment,CA,95377,"[{'bedroom_type': '1 Bed', 'price': '$2,039'}, {'bedroom_type': '2 Beds', 'price': '$2,498'}, {'bedroom_type': '3 Beds', 'price': '$2,907'}]","2655 Henley Pky, Tracy, CA 95377",https://www.apartments.com/harvest-in-tracy-tracy-ca/rz5eqr3/,,"$2,039","$2,498","$2,907",,,,
The Foundry,West Sacramento,Apartment,CA,95691,"[{'bedroom_type': 'Studio', 'price': '$1,599'}, {'bedroom_type': '1 Bed', 'price': ''}]","998 Riverfront St, West Sacramento, CA 95691",https://www.apartments.com/the-foundry-west-sacramento-ca/td1m2tb/,"$1,599",,,,,,,
The Monterey,Corona,Apartment,CA,92879,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,305'}]","2225 Collett Ave, Corona, CA 92879",https://www.apartments.com/the-monterey-corona-ca/p7bs0jt/,,"$1,995","$2,305",,,,,
Sonoma Ranch Apartments Homes,Santa Rosa,Apartment,CA,95403,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]","4440 Old Redwood Hwy, Santa Rosa, CA 95403",https://www.apartments.com/sonoma-ranch-apartments-homes-santa-rosa-ca/2fh16vc/,,"$2,400","$2,800","$3,400",,,,
550 Harborfront,San Pedro,Apartment,CA,90731,"[{'bedroom_type': '1 Bed', 'price': '$1,960'}, {'bedroom_type': '2 Beds', 'price': '$2,880'}, {'bedroom_type': '3 Beds', 'price': '$3,815'}, {'bedroom_type': '4 Beds', 'price': '$5,125'}]","550 S Palos Verdes St, San Pedro, CA 90731",https://www.apartments.com/550-harborfront-san-pedro-ca/e6trq5m/,,"$1,960","$2,880","$3,815","$5,125",,,
ALLURE AT 2920,Modesto,Apartment,CA,95356,"[{'bedroom_type': 'Studio', 'price': '$1,495'}, {'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}]","2920 Healthcare Way, Modesto, CA 95356",https://www.apartments.com/allure-at-2920-modesto-ca/mhhw5el/,"$1,495","$1,625","$2,095",,,,,
Arballo Collection,San Francisco,Apartment,CA,94132,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t3 Beds\r\n\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","512 Arballo Dr, San Francisco, CA 94132",https://www.apartments.com/arballo-collection-san-francisco-ca/djygwgj/,,,,,,,,
Santa Fe Ranch,Carlsbad,Apartment,CA,92009,"[{'bedroom_type': '1 Bed', 'price': '$1,772'}, {'bedroom_type': '2 Beds', 'price': '$2,019'}]","3402 Calle Odessa, Carlsbad, CA 92009",https://www.apartments.com/santa-fe-ranch-carlsbad-ca/ed6q78m/,,"$1,772","$2,019",,,,,
The Cove at Tiburon,Tiburon,Apartment,CA,94920,"[{'bedroom_type': '1 Bed', 'price': '$3,100'}, {'bedroom_type': '2 Beds', 'price': '$4,059'}, {'bedroom_type': '3 Beds', 'price': '$7,730'}, {'bedroom_type': '4 Beds', 'price': ''}]","50 Barbaree Way, Tiburon, CA 94920",https://www.apartments.com/the-cove-at-tiburon-tiburon-ca/9e9x044/,,"$3,100","$4,059","$7,730",,,,
CORONADO PALMS,Anaheim,Apartment,CA,92802,"[{'bedroom_type': '1 Bed', 'price': '$1,646'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': '$2,225'}]","1250 S Euclid Ave, Anaheim, CA 92802",https://www.apartments.com/coronado-palms-anaheim-ca/qhtxywz/,,"$1,646","$1,795","$2,225",,,,
