City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,Studio,1 Bed,4 Beds
Alameda,Condos,CA,94501,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}]","Alameda, CA 94501",https://www.apartments.com/333-willow-st-alameda-ca/46byewk/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$2,095",
San Jose,Condos,CA,95128,"[{'bedroom_type': 'Studio', 'price': '$3,000'}]","San Jose, CA 95128",https://www.apartments.com/334-santana-row-san-jose-ca-unit-242/58gf98n/,1 BA,734 Sq Ft,734,12 Month Lease,Available Now,,,"$3,000",,
Pasadena,Condos,CA,91104,"[{'bedroom_type': '3 Beds', 'price': '$2,700'}]","1255 Los Robles N Ave, Pasadena, CA 91104",https://www.apartments.com/1255-los-robles-n-ave-pasadena-ca-unit-14/l8mpb9g/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,"$2,700",,,,
Pasadena,Condos,CA,91106,"[{'bedroom_type': '4 Beds', 'price': '$2,950'}]","Pasadena, CA 91106",https://www.apartments.com/78-harkness-ave-pasadena-ca-unit-7/gwc4fqy/,3 BAs,"1,477 Sq Ft","1,477",12 Month Lease,Available Now,,,,,"$2,950"
Torrance,Condos,CA,90501,"[{'bedroom_type': '1 Bed', 'price': '$1,495'}]","2270 Sepulveda Blvd, Torrance, CA 90501",https://www.apartments.com/2270-sepulveda-blvd-torrance-ca/jq8vnl6/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,"$1,495",
Pasadena,Condos,CA,91103,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","Pasadena, CA 91103",https://www.apartments.com/27-e-montana-st-pasadena-ca/q96tl4z/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$1,895",,,
San Diego,Condos,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","San Diego, CA 92104",https://www.apartments.com/4365-ohio-st-san-diego-ca-unit-6/lxm0rrf/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,995",,,
San Diego,Condos,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","San Diego, CA 92104",https://www.apartments.com/4365-ohio-st-san-diego-ca-unit-3/nejqhhm/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,995",,,
San Diego,Condos,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$3,995'}]","San Diego, CA 92104",https://www.apartments.com/4365-ohio-st-san-diego-ca-unit-4/y2bqqlt/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,995",,,
San Diego,Condos,CA,92104,"[{'bedroom_type': '2 Beds', 'price': '$4,295'}]","San Diego, CA 92104",https://www.apartments.com/4365-ohio-st-san-diego-ca-unit-1/f7cvy9r/,3½ BAs,"1,622 Sq Ft","1,622",12 Month Lease,Available Now,,"$4,295",,,
Long Beach,Condos,CA,90804,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]","Long Beach, CA 90804",https://www.apartments.com/1371-loma-ave-long-beach-ca/zkcxfcw/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,400",,,,
Los Angeles,Condos,CA,90031,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","Los Angeles, CA 90031",https://www.apartments.com/3640-griffin-ave-los-angeles-ca/8qetn71/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,795",,,
San Jose,Condos,CA,95112,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","San Jose, CA 95112",https://www.apartments.com/125-patterson-st-san-jose-ca-unit-337/hb5y6j2/,2 BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$2,600",,,
Sacramento,Condos,CA,95816,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}]","Sacramento, CA 95816",https://www.apartments.com/822-28th-st-sacramento-ca/y4zbdhr/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,800",
