City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,4 Beds,4+ Beds
Los Angeles,Townhomes,CA,90027,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","5009 Franklin Ave, Los Angeles, CA 90027",https://www.apartments.com/5009-franklin-ave-los-angeles-ca/jgmqw65/,2 BAs,"2,200 Sq Ft","2,200",12 Month Lease,Available Now,,"$4,000",,,
Culver City,Townhomes,CA,90232,"[{'bedroom_type': '3 Beds', 'price': '$4,650'}]","3920 Prospect Ave, Culver City, CA 90232",https://www.apartments.com/3920-prospect-ave-culver-city-ca/wjd004j/,3 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$4,650",,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '4 Beds', 'price': '$6,100'}]","654 9th St, Hermosa Beach, CA 90254",https://www.apartments.com/654-9th-st-hermosa-beach-ca/t0nd379/,3½ BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,,"$6,100",
Palm Springs,Townhomes,CA,92264,"[{'bedroom_type': '2 Beds', 'price': '$4,400'}]","1801 S La Paloma, Palm Springs, CA 92264",https://www.apartments.com/1801-s-la-paloma-palm-springs-ca/vwyc5kd/,2 BAs,"1,700 Sq Ft","1,700",,Available Now,,,"$4,400",,
Los Angeles,Townhomes,CA,90710,"[{'bedroom_type': '2 Beds', 'price': '$2,395'}]","Los Angeles, CA 90710",https://www.apartments.com/1444-260th-st-los-angeles-ca/c7dtecg/,2 BAs,935 Sq Ft,935,12 Month Lease,Available Now,,,"$2,395",,
San Diego,Townhomes,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$2,450'}]","San Diego, CA 92104",https://www.apartments.com/2871-capps-st-san-diego-ca/bf8qgl9/,1½ BAs,660 Sq Ft,660,12 Month Lease,Available Now,"$2,450",,,,
Pacifica,Townhomes,CA,94044,"[{'bedroom_type': '2 Beds', 'price': '$2,975'}]","Pacifica, CA 94044",https://www.apartments.com/1455-terra-nova-blvd-pacifica-ca/5rh6w5n/,1½ BAs,960 Sq Ft,960,12 Month Lease,Available Now,,,"$2,975",,
Los Angeles,Townhomes,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$3,700'}]","Los Angeles, CA 90039",https://www.apartments.com/2426-tesla-ter-los-angeles-ca/pr0kper/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Jul 15,,,"$3,700",,
Los Angeles,Townhomes,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$3,750'}]","2150 S Beverly Glen Blvd, Los Angeles, CA 90025",https://www.apartments.com/2150-s-beverly-glen-blvd-los-angeles-ca/jdcf8s6/,1 BA,850 Sq Ft,850,6 Month Lease,Available Now,,,"$3,750",,
Los Angeles,Townhomes,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$4,650'}]","9323 Alcott St, Los Angeles, CA 90035",https://www.apartments.com/9323-alcott-st-los-angeles-ca/jl6y8j6/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Jul 30,,"$4,650",,,
Palo Alto,Townhomes,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$4,900'}]","Palo Alto, CA 94301",https://www.apartments.com/424-homer-ave-palo-alto-ca/0689c93/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,,"$4,900",,,
Santa Clarita,Townhomes,CA,91321,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","Santa Clarita, CA 91321",https://www.apartments.com/24321-la-glorita-cir-santa-clarita-ca/00plcn1/,1½ BAs,988 Sq Ft,988,12 Month Lease,Available Now,,,"$2,200",,
Escondido,Townhomes,CA,92026,"[{'bedroom_type': '3 Beds', 'price': '$2,995'}]","Escondido, CA 92026",https://www.apartments.com/917-w-lincoln-ave-escondido-ca/t7spxq9/,2½ BAs,"1,326 Sq Ft","1,326",12 Month Lease,Available Now,,"$2,995",,,
Hermosa Beach,Townhomes,CA,90254,"[{'bedroom_type': '2 Beds', 'price': '$4,950'}]","53 8th St, Hermosa Beach, CA 90254",https://www.apartments.com/53-8th-st-hermosa-beach-ca/1mgz6q5/,2½ BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$4,950",,
Los Angeles,Townhomes,CA,90045,"[{'bedroom_type': '3 Beds', 'price': '$4,700'}]","8422 Glider Ave, Los Angeles, CA 90045",https://www.apartments.com/8422-glider-ave-los-angeles-ca/lygwqyf/,3½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$4,700",,,
Walnut Creek,Townhomes,CA,94597,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","Walnut Creek, CA 94597",https://www.apartments.com/1295-camino-verde-walnut-creek-ca/tlnpmb8/,1½ BAs,"1,400 Sq Ft","1,400",3 Month Lease,Available Now,,,"$2,500",,
