1 Bed,2 Beds,3 Beds,4 Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Type,Zip_code
,,"$3,000",,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]",Laguna Niguel,"Laguna Niguel, CA 92677",,https://www.apartments.com/27936-via-janeiro-laguna-niguel-ca/y1yxg0t/,"1,620","1,620 Sq Ft",CA,Townhomes,92677
,"$4,495",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,495'}]",Beverly Hills,"Beverly Hills, CA 90212",,https://www.apartments.com/9557-w-olympic-blvd-beverly-hills-ca/m52xnsh/,"1,416","1,416 Sq Ft",CA,Townhomes,90212
,,"$3,150",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,150'}]",Richmond,"Richmond, CA 94804",12 Month Lease,https://www.apartments.com/2303-maritime-way-richmond-ca/tgbv31b/,"1,360","1,360 Sq Ft",CA,Townhomes,94804
,"$4,100",,,Available Now,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$4,100'}]",Los Angeles,"506 Brooks Ave, Los Angeles, CA 90291",1 Month Lease,https://www.apartments.com/506-brooks-ave-los-angeles-ca/sbpx3d6/,"1,000","1,000 Sq Ft",CA,Townhomes,90291
,"$1,899",,,May 1,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$1,899'}]",Big Bear,"Big Bear, CA 92314",6 Month Lease,https://www.apartments.com/880-summit-blvd-big-bear-ca/3xpxv0e/,"1,200","1,200 Sq Ft",CA,Townhomes,92314
,"$2,975",,,May 5,2½ BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,975'}]",San Diego,"San Diego, CA 92123",12 Month Lease,https://www.apartments.com/4974-juneberry-ct-san-diego-ca/64m2fsv/,"1,600","1,600 Sq Ft",CA,Townhomes,92123
,,"$3,500",,Available Now,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]",Gardena,"1506 W Artesia Square, Gardena, CA 90248",12 Month Lease,https://www.apartments.com/1506-w-artesia-square-gardena-ca/eb1qr3q/,"2,350","2,350 Sq Ft",CA,Townhomes,90248
,,"$2,875",,Apr 15,2½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,875'}]",Santa Rosa,"Santa Rosa, CA 95401",,https://www.apartments.com/164-n-dutton-ave-santa-rosa-ca/7le8bgx/,"1,265","1,265 Sq Ft",CA,Townhomes,95401
"$2,600",,,,Available Now,1 BA,"[{'bedroom_type': '1 Bed', 'price': '$2,600'}]",West Hollywood,"West Hollywood, CA 90046",12 Month Lease,https://www.apartments.com/907-n-genesee-ave-west-hollywood-ca/ggrfl0y/,750,750 Sq Ft,CA,Townhomes,90046
,,"$5,500",,Jul 1,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]",Malibu,"Malibu, CA 90265",12 Month Lease,https://www.apartments.com/28214-rey-de-copas-ln-malibu-ca/2qetzec/,"1,681","1,681 Sq Ft",CA,Townhomes,90265
,,"$4,500",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$4,500'}]",Oakland,"Oakland, CA 94607",,https://www.apartments.com/501-zephyr-dr-oakland-ca/0q1syv2/,"1,500","1,500 Sq Ft",CA,Townhomes,94607
,,,"$5,000",Apr 10,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$5,000'}]",Los Angeles,"239 S Mansfield Ave, Los Angeles, CA 90036",12 Month Lease,https://www.apartments.com/239-s-mansfield-ave-los-angeles-ca/kjjc48c/,"2,200","2,200 Sq Ft",CA,Townhomes,90036
,,,"$3,650",Aug 1,2½ BAs,"[{'bedroom_type': '4 Beds', 'price': '$3,650'}]",San Diego,"San Diego, CA 92115",12 Month Lease,https://www.apartments.com/6612-reservoir-ln-san-diego-ca/dl04p8k/,"2,300","2,300 Sq Ft",CA,Townhomes,92115
,,"$6,000",,Available Now,3½ BAs,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]",Los Angeles,"1306 N Mansfield Ave, Los Angeles, CA 90028",,https://www.apartments.com/1306-n-mansfield-ave-los-angeles-ca/tfh0ejb/,"2,200","2,200 Sq Ft",CA,Townhomes,90028
