1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Availability_check,Bath_Info,Bedroom_Info,City_Rent,Full_Address,Lease_length,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
,,"$2,900",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,900'}]",89 E Commonwealth Ave,"Alhambra, CA 91801",,https://www.apartments.com/89-e-commonwealth-ave-alhambra-ca/ts2vrg8/,"2,000","2,000 Sq Ft",Alhambra,,Townhomes,CA
,"$5,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$5,500'}]",1 Seafaring Dr,"Newport Beach, CA 92625",,https://www.apartments.com/1-seafaring-dr-newport-beach-ca/511ny7m/,"2,400","2,400 Sq Ft",Newport Beach,,Townhomes,CA
,,"$2,250",,,Available Now,2 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,250'}]",13239 3rd St,"Chino, CA 91710",,https://www.apartments.com/13239-3rd-st-chino-ca/npmczmp/,"1,056","1,056 Sq Ft",Chino,,Townhomes,CA
,,,"$4,500",,Available Now,3 BAs,"[{'bedroom_type': '4 Beds', 'price': '$4,500'}]",1910 Farrell Ave,"Redondo Beach, CA 90278",,https://www.apartments.com/1910-farrell-ave-redondo-beach-ca/lwfe5xd/,"2,334","2,334 Sq Ft",Redondo Beach,,Townhomes,CA
,,"$2,400",,,Available Now,3 BAs,"[{'bedroom_type': '3 Beds', 'price': '$2,400'}]",607 Briarwood Ln,"San Dimas, CA 91773",,https://www.apartments.com/607-briarwood-ln-san-dimas-ca/jmntym5/,"1,452","1,452 Sq Ft",San Dimas,,Townhomes,CA
,,,,,Available Now,1 BA,"[{'bedroom_type': 'Studio', 'price': '$1,900'}]",1525 S Euclid St,"Anaheim, CA 92804",,https://www.apartments.com/1525-s-euclid-st-anaheim-ca/53syqlm/,590,590 Sq Ft,Anaheim,"$1,900",Townhomes,CA
,"$3,950",,,,Available Now,4 BAs,"[{'bedroom_type': '2 Beds', 'price': '$3,950'}]",20 Nice,"Laguna Niguel, CA 92677",,https://www.apartments.com/20-nice-laguna-niguel-ca/cl5yd3g/,"2,337","2,337 Sq Ft",Laguna Niguel,,Townhomes,CA
,"$7,000",,,,Available Now,3 BAs,"[{'bedroom_type': '2 Beds', 'price': '$7,000'}]",84 Blue Lagoon,"Laguna Beach, CA 92651",,https://www.apartments.com/84-blue-lagoon-laguna-beach-ca/zkfd2cz/,"1,680","1,680 Sq Ft",Laguna Beach,,Townhomes,CA
,"$2,500",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]",3018 Fillmore Way,"Costa Mesa, CA 92626",,https://www.apartments.com/3018-fillmore-way-costa-mesa-ca/0q5y7d1/,"1,100","1,100 Sq Ft",Costa Mesa,,Townhomes,CA
,"$2,595",,,,Available Now,2 BAs,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]",34602 Calle Rosita,"Dana Point, CA 92624",,https://www.apartments.com/34602-calle-rosita-dana-point-ca/rlkptk0/,"1,000","1,000 Sq Ft",Dana Point,,Townhomes,CA
