Bath,Bed,City,Half-bath,House_type,Latitude,Listing_type,Longitude,Price,Square_Feet,State,Street,Zip_code,Rent
1,2,Laguna Niguel,1,Condo/Townhome,33.5462,FOR SALE,-117.684,450000,1232,CA,25604 Paseo La 3,92677,2500
2,2,Anaheim,0,Condo/Townhome,33.8125,FOR SALE,-118.011,385000,1026,CA,3550 W Sweetbay Court W F,92804,1845
2,2,Chula Vista,0,Condo/Townhome,32.6304,FOR SALE,-117.046,330000,1006,CA,824 Tamayo Dr 2,91910,1795
2,2,Milpitas,1,Condo/Townhome,37.40998,FOR SALE,-121.89845,899999,1300,CA,1501 Bond St,95035,2846
2,2,Campbell,0,Condo/Townhome,37.26566,FOR SALE,-121.94757,685000,992,CA,87 Redding Rd,95008,4316
2,2,Santa Clara,0,Condo/Townhome,37.32592,FOR SALE,-121.97147,678910,1137,CA,121 Buckingham Dr 56,95051,2791
2,2,San Diego,0,Condo/Townhome,32.7109,FOR SALE,-117.1542,540000,910,CA,525 11th Ave. 1105,92101,4150
2,2,Ladera Ranch,1,Condo/Townhome,33.547531,FOR SALE,-117.647647,535000,1578,CA,42 Palladium Lane #81,92694,2495
2,2,Brea,1,Condo/Townhome,33.93101,FOR SALE,-117.89491,500000,1302,CA,749 Sather Court 46,92821,1910
2,2,Rancho Santa Margarita,0,Condo/Townhome,33.6511,FOR SALE,-117.583,449000,922,CA,5 Via Acuatica,92688,1840
2,2,San Dimas,0,Condo/Townhome,34.1189,FOR SALE,-117.799,429000,1198,CA,926 Malakoff Road,91773,1730
