"
                        1 Bedroom
                            –
2 Bedrooms                    ","
                        1 Bedroom
                            –
3 Bedrooms                    ","
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,,,"$2,025 ","$2,550 ","$3,650 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,975 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,025 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,550 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,650 '}]",San Diego,La Jolla Crossroads,CA,"$1,975 ",Apartment,92122
,,,"$1,671 ","$2,065 ","$2,538 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,671 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,065 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,538 '}]",San Diego,Casoleil,CA,,Apartment,92154
,,,"$1,792 ","$1,988 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,546 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,792 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,988 '}]",San Diego,Navajo Bluffs,CA,"$1,546 ",Apartment,92119
,,,"$1,790 ","$1,960 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,790 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,960 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Upland,College Park Apartment Homes,CA,,Apartment,91786
,,,"$1,200 ","$1,360 ","$1,595 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,200 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,360 '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,595 '}]",Sacramento,The Luxe Apartment Homes,CA,,Apartment,95825
,,,,"$4,300 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$4,300 '}]",Marina del Rey,Waves MDR,CA,,Apartment,90292
,,,"$1,706 ","$2,017 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,706 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,017 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Chino Hills,Portofino,CA,,Apartment,91709
,,,"$1,120 ","$1,550 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,130 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,120 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,550 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Riverside,Berkdale Apartments,CA,"$1,130 ",Apartment,92507
,,,"$1,910 ","$2,345 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,910 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,345 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Woodland Hills,Warner Villa,CA,,Apartment,91367
,,,$915 ,"$1,050 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$915 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,050 '}]",Fresno,Reflections Apartment Homes,CA,,Apartment,93722
