1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
"$2,125 ","$2,580 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,640 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,125 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,580 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",North Hollywood,Living at NoHo,CA,"$1,640 ",Apartment,91601
"$2,155 ","$2,430 ","$3,345 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,155 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,430 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,345 '}]",San Diego,Mira Bella Apartments,CA,,Apartment,92123
"$2,005 ","$2,425 ","$3,450 ",,"[{'bedroom_type': 'Studio', 'price': '$1,855 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,005 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,425 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,450 '}]",Newport Beach,Park Newport,CA,"$1,855 ",Apartment,92660
,"$1,895 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,895 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Huntington Beach,Surf at 39,CA,,Apartment,92647
"$3,334 ","$4,528 ",,,"[{'bedroom_type': 'Studio', 'price': '$3,631 '}, {'bedroom_type': '1 Bedroom', 'price': '$3,334 '}, {'bedroom_type': '2 Bedrooms', 'price': '$4,528 '}]",Playa Vista,Runway at Playa Vista,CA,"$3,631 ",Apartment,90094
"$2,520 ","$3,565 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,520 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,565 '}]",Mountain View,eaves Creekside,CA,,Apartment,94041
"$2,570 ","$3,360 ","$6,024 ",,"[{'bedroom_type': '1 Bedroom', 'price': '$2,570 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,360 '}, {'bedroom_type': '3 Bedrooms', 'price': '$6,024 '}]",Los Angeles,Palazzo East,CA,,Apartment,90036
"$1,796 ","$2,557 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,741 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,796 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,557 '}]",Irvine,Sofi Irvine,CA,"$1,741 ",Apartment,92614
"$1,310 ","$1,380 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,310 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,380 '}]",Fair Oaks,Eclipse 96 Apartments,CA,,Apartment,95628
"$2,695 ","$3,429 ",,,"[{'bedroom_type': 'Studio', 'price': '$2,130 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,695 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,429 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Los Angeles,The 5550,CA,"$2,130 ",Apartment,90028
