"
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,"$3,394 ","$5,103 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$3,394 '}, {'bedroom_type': '2 Bedrooms', 'price': '$5,103 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Santa Monica,Avalon Santa Monica on Main,CA,,Apartment,90405
,"$1,872 ","$2,670 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,872 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,670 '}]",West Covina,The Colony at the Lakes,CA,,Apartment,91790
,"$2,195 ","$2,475 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,195 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,475 '}]",Dublin,Amador Lakes Apartments,CA,,Apartment,94568
,"$1,500 ","$1,865 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,500 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,865 '}]",San Diego,Canyon View Apartments,CA,,Apartment,92119
,"$2,604 ","$2,806 ","$3,233 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,604 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,806 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,233 '}]",Carlsbad,Marisol,CA,,Apartment,92010
,,$859 ,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$859 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Fresno,Landing at Fancher Creek Apartments,CA,,Apartment,93727
,"$1,631 ","$1,817 ","$2,699 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,631 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,817 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,699 '}]",Murrieta,Pacific Landing Luxury Apartments,CA,,Apartment,92563
,"$1,960 ",,,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,960 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Fullerton,Malden Station by Windsor,CA,,Apartment,92832
,"$1,570 ","$1,955 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,570 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,955 '}]",Antioch,Mira Vista Hills,CA,,Apartment,94509
,"$3,162 ","$3,656 ","$4,300 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,162 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,656 '}, {'bedroom_type': '3 Bedrooms', 'price': '$4,300 '}]",Culver City,Harlow Culver City,CA,,Apartment,90232
,"$1,614 ","$1,631 ","$2,449 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,614 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,631 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,449 '}]",Corona,Promenade Terrace,CA,,Apartment,92879
,"$2,155 ","$2,660 ",,,,"[{'bedroom_type': 'Studio', 'price': '$1,932 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,155 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,660 '}]",Hayward,Creekwood,CA,"$1,932 ",Apartment,94541
,"$1,500 ","$1,703 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,500 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,703 '}]",Suisun City,The Henley,CA,,Apartment,94585
,"$2,516 ","$3,074 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,445 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,516 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,074 '}]",Inglewood,Bell South Bay,CA,"$2,445 ",Apartment,90304
,"$2,022 ","$2,542 ","$3,614 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,022 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,542 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,614 '}]",Fairfield,Verdant at Green Valley,CA,,Apartment,94534
,,,,,,"[{'bedroom_type': 'Studio', 'price': '$2,395 '}]",San Francisco,Stevenson Lofts,CA,"$2,395 ",Apartment,94103
,"$1,691 ","$2,124 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,691 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,124 '}]",Corona,Metro at Main,CA,,Apartment,92880
,"$1,785 ","$2,050 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,785 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,050 '}]",Vacaville,Villas at North Village,CA,,Apartment,95688
