3 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,1 bed,2 beds,4 beds,6 beds,5 beds
5500.0,Palo Alto,Townhomes,CA,94306,"4173 El Camino Real Palo Alto, CA 94306",https://www.apartments.com/4173-el-camino-real-palo-alto-ca/fq2mj9t/,3 baths,"1,730 sq ft","1,730",,,,,
6500.0,Foster City,Townhomes,CA,94404,"222 Argonaut Ln Foster City, CA 94404",https://www.apartments.com/222-argonaut-ln-foster-city-ca/zk62vyx/,3 baths,"2,277 sq ft","2,277",,,,,
3275.0,Morgan Hill,Townhomes,CA,95037,"15154 Yosemite Way Morgan Hill, CA 95037",https://www.apartments.com/15154-yosemite-way-morgan-hill-ca/pmfw3kt/,2.5 baths,"1,801 sq ft","1,801",,,,,
,San Carlos,Townhomes,CA,94070,"436 Laurel St San Carlos, CA 94070",https://www.apartments.com/436-laurel-st-san-carlos-ca/mrw5kql/,2.5 baths,"1,492 sq ft","1,492",,5300.0,,,
2795.0,Milpitas,Townhomes,CA,95035,"398 Lynn Ave Milpitas, CA 95035",https://www.apartments.com/398-lynn-ave-milpitas-ca/vfkk9pf/,1.5 baths,"1,146 sq ft","1,146",,,,,
3495.0,Santa Clara,Townhomes,CA,95054,"2233 Calle De Primavera Santa Clara, CA 95054",https://www.apartments.com/2233-calle-de-primavera-santa-clara-ca/wd6wtyk/,1.5 baths,"1,240 sq ft","1,240",,,,,
,Sunnyvale,Townhomes,CA,94087,"1276 Riesling Terrace Sunnyvale, CA 94087",https://www.apartments.com/1276-riesling-terrace-sunnyvale-ca/4zpqh0h/,1.5 baths,"1,160 sq ft","1,160",,2800.0,,,
3900.0,Milpitas,Townhomes,CA,95035,"380 Hearst Dr Milpitas, CA 95035",https://www.apartments.com/380-hearst-dr-milpitas-ca/jepb5h7/,3.5 baths,"1,708 sq ft","1,708",,,,,
,Sunnyvale,Townhomes,CA,94087,"815 Kingfisher Terrace Sunnyvale, CA 94087",https://www.apartments.com/815-kingfisher-terrace-sunnyvale-ca/yng2czt/,2.5 baths,"1,426 sq ft","1,426",,3500.0,,,
,Sunnyvale,Townhomes,CA,94086,"979 Asilomar Terrace Sunnyvale, CA 94086",https://www.apartments.com/979-asilomar-terrace-sunnyvale-ca/6r6wzjr/,2.5 baths,"1,553 sq ft","1,553",,3450.0,,,
,Sunnyvale,Townhomes,CA,94087,"979 Pinto Palm Terrace Sunnyvale, CA 94087",https://www.apartments.com/979-pinto-palm-terrace-sunnyvale-ca/3g9x37e/,2 baths,"1,191 sq ft","1,191",,3250.0,,,
