2 beds,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,3 beds,4 beds,1 bed,Studio,5 beds
1900.0,San Jose,Condos,CA,95112,"495 E William St San Jose, CA 95112",https://www.apartments.com/495-e-william-st-san-jose-ca/yy493ls/,1 bath,600 sq ft,600,,,,,
2950.0,Dana Point,Condos,CA,92629,"70 Corniche Dana Point, CA 92629",https://www.apartments.com/70-corniche-dana-point-ca-unit-d/mt35bnh/,2 baths,"1,150 sq ft","1,150",,,,,
,Venice,Condos,CA,90291,"109 Park Pl Venice, CA 90291",https://www.apartments.com/109-park-pl-venice-ca/3q9p97d/,1 bath,850 sq ft,850,,,2950.0,,
1000.0,Bakersfield,Condos,CA,93308,"6524 Mohawk St Bakersfield, CA 93308",https://www.apartments.com/6524-mohawk-st-bakersfield-ca/pve0l7s/,1 bath,700 sq ft,700,,,,,
,South San Francisco,Condos,CA,94080,"1042 Grand Ave South San Francisco, CA 94080",https://www.apartments.com/1042-grand-ave-south-san-francisco-ca/42wcbbj/,1 bath,650 sq ft,650,,,2200.0,,
1850.0,Malibu,Condos,CA,90265,"23901 Civic Center Way Malibu, CA 90265",https://www.apartments.com/23901-civic-center-way-malibu-ca-unit-256/cs7xr1g/,2 baths,650 sq ft,650,,,,,
,Campbell,Condos,CA,95008,"2715 Joseph Ave Campbell, CA 95008",https://www.apartments.com/2715-joseph-ave-campbell-ca/y5z2s5r/,1 bath,600 sq ft,600,,,1795.0,,
,Sunnyvale,Condos,CA,94086,"225 Lometa Ave Sunnyvale, CA 94086",https://www.apartments.com/225-lometa-ave-sunnyvale-ca/gsssb2x/,1 bath,660 sq ft,660,,,1950.0,,
,Lawndale,Condos,CA,90260,"4575 W 173rd St Lawndale, CA 90260",https://www.apartments.com/4575-w-173rd-st-lawndale-ca/p0nrb4t/,1 bath,450 sq ft,450,,,2500.0,,
3099.0,San Diego,Condos,CA,92123,"4891 Haight Trl San Diego, CA 92123",https://www.apartments.com/4891-haight-trl-san-diego-ca-unit-4891/ezw43lp/,2.5 baths,"1,252 sq ft","1,252",,,,,
,Livermore,Condos,CA,94550,"4671 Laurie Cmn Livermore, CA 94550",https://www.apartments.com/4671-laurie-cmn-livermore-ca-unit-108/r5dg5v0/,1 bath,629 sq ft,629,,,2260.0,,
2395.0,Sunnyvale,Condos,CA,94087,"1642 Queen Charlotte Dr Sunnyvale, CA 94087",https://www.apartments.com/1642-queen-charlotte-dr-sunnyvale-ca/nfqnctn/,1 bath,860 sq ft,860,,,,,
2250.0,Los Angeles,Condos,CA,90004,"149 N Commonwealth Ave Los Angeles, CA 90004",https://www.apartments.com/149-n-commonwealth-ave-los-angeles-ca/fr42nxr/,2 baths,850 sq ft,850,,,,,
,West Hollywood,Condos,CA,90046,"1047 N Ogden Dr West Hollywood, CA 90046",https://www.apartments.com/1047-n-ogden-dr-west-hollywood-ca/q3fpr0x/,1 bath,800 sq ft,800,,,1700.0,,
1895.0,Los Angeles,Condos,CA,90033,"2637 Dobinson St Los Angeles, CA 90033",https://www.apartments.com/2637-dobinson-st-los-angeles-ca/5wy2s5n/,1 bath,"1,100 sq ft","1,100",,,,,
,Los Angeles,Condos,CA,90049,"11670 Sunset Blvd Los Angeles, CA 90049",https://www.apartments.com/11670-sunset-blvd-los-angeles-ca-unit-214/tw9zhe9/,1 bath,700 sq ft,700,,,2200.0,,
,Castro Valley,Condos,CA,94546,"17553 Parker Rd Castro Valley, CA 94546",https://www.apartments.com/17553-parker-rd-castro-valley-ca/ze37p2x/,1 bath,805 sq ft,805,,,2300.0,,
2300.0,North Hollywood,Condos,CA,91601,"11063 Cumpston St North Hollywood, CA 91601",https://www.apartments.com/11063-cumpston-st-north-hollywood-ca/ltyywpf/,1.5 baths,859 sq ft,859,,,,,
