Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
BERKSHIRE HATHAWAY HOMESERVICE,"$750,000","120 Matisse Cir #108, Aliso Viejo, CA 92656",120 Matisse Cir #108,AlisoViejo,CA,92656,4,3,"1,822","3,798 sqft",3798.0,Townhouse,1989,"Direct Access, Garage, Garage - Single Door, Guest",$479 monthly,"$771,604","$3,400/mo",$412,https://www.zillow.com/homedetails/120-Matisse-Cir-108-Aliso-Viejo-CA-92656/25665105_zpid/
,"$483,880+","Residence 2 Plan, Indigo at Canvas Park at New Haven",Residence 2 Plan,IndigoatCanvasParkatNewHaven,null,null,3,2,"1,403",No Data,null,Townhouse,2021,No Data,null,null,null,$345,https://www.zillow.com/community/indigo-at-canvas-park-at-new-haven/2080441897_zpid/
,"$596,990+","Residence 3X Plan, River Village : Concord",Residence 3X Plan,RiverVillage:Concord,null,null,3,3,"1,621",No Data,null,Townhouse,2021,No Data,null,null,null,$368,https://www.zillow.com/community/river-village-concord/2076858742_zpid/
,"$1,598,000+","Marquetta Plan 1 Plan, Montecito",Marquetta Plan 1 Plan,Montecito,null,null,2,3,"1,406",No Data,null,Townhouse,2021,"Garage - Attached, ",$333 monthly,null,null,"$1,137",https://www.zillow.com/community/montecito/2078031191_zpid/
FIRST TEAM REAL ESTATE,"$950,000","3287 Moritz Dr #8, Huntington Beach, CA 92649",3287 Moritz Dr #8,HuntingtonBeach,CA,92649,2,2,"1,348",No Data,null,Townhouse,1979,"Concrete, Garage, Garage Faces Front, Garage - Single Door, Garage Door Opener",$517 monthly,"$950,003","$3,200/mo",$705,https://www.zillow.com/homedetails/3287-Moritz-Dr-8-Huntington-Beach-CA-92649/25725625_zpid/
PROFESSIONAL REALTY SERVICES,"$1,299,000","822 Ostend Ct, San Diego, CA 92109",822 Ostend Ct,SanDiego,CA,92109,2,3,"1,287",No Data,null,Townhouse,1984,"Assigned, Other",null,"$1,340,653","$4,200/mo","$1,009",https://www.zillow.com/homedetails/822-Ostend-Ct-San-Diego-CA-92109/54906646_zpid/
,"$1,147,195+","A-2 Plan, Avella at Civita",A-2 Plan,AvellaatCivita,null,null,3,4,"2,124",No Data,null,Townhouse,2021,No Data,null,null,null,$540,https://www.zillow.com/community/avella-at-civita/2084166510_zpid/
,"$479,900+","Residence One Plan, Parc Place",Residence One Plan,ParcPlace,null,null,2,2,"1,116",No Data,null,Townhouse,2021,No Data,$52 monthly,null,null,$430,https://www.zillow.com/community/parc-place/2091653419_zpid/
,"$590,990+","Brisas ; Residence 1 Plan, Pacific Ridge: Lucero _ Brisas",Brisas ; Residence 1 Plan,PacificRidge:Lucero_Brisas,null,null,3,3,"1,499",null,null,null,null,null,null,null,null,null,https://www.zillow.com/community/pacific-ridge-lucero-_-brisas/2076743295_zpid/
,"$563,700+","Residence 1515 Plan, Verano at Skyline",Residence 1515 Plan,VeranoatSkyline,null,null,3,3,"1,515",No Data,null,Townhouse,2021,No Data,null,null,null,$372,https://www.zillow.com/community/verano-at-skyline/2082370082_zpid/
,"$743,880+","Residence 3X Plan, Latitude at Rancho Tesoro",Residence 3X Plan,LatitudeatRanchoTesoro,null,null,3,4,"1,933",No Data,null,Townhouse,2021,No Data,null,null,null,$385,https://www.zillow.com/community/latitude-at-rancho-tesoro/2081178110_zpid/
,"$419,000+","Cava Plan 1 Plan, Cava at Rancho Soleo",Cava Plan 1 Plan,CavaatRanchoSoleo,null,null,3,3,"1,561",No Data,null,Townhouse,2021,No Data,null,null,null,$268,https://www.zillow.com/community/cava-at-rancho-soleo/2075667240_zpid/
,"$1,250,000+","Residence 1 Plan, The Isle at Mariner Shores",Residence 1 Plan,TheIsleatMarinerShores,null,null,2,3,"1,683",No Data,null,Townhouse,2021,"Garage - Attached, ",null,null,null,$743,https://www.zillow.com/community/isle-at-mariner-shores/2072200720_zpid/
,"$959,990+","Trestles 1462 Plan, South Cove",Trestles 1462 Plan,SouthCove,null,null,2,3,"1,462",No Data,null,Townhouse,2021,"Garage - Attached, ",null,null,null,$657,https://www.zillow.com/community/south-cove/2085317821_zpid/
,"$796,500+","Floor Design Layouts Plan, West Village",Floor Design Layouts Plan,WestVillage,null,null,1,2,"2,246",No Data,null,Townhouse,2021,0 spaces,null,null,null,$355,https://www.zillow.com/community/west-village/2075132076_zpid/
