City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 – 2 Beds,2 Beds,Studio,1 Bed,3 Beds,1 – 3 Beds,2 – 3 Beds,Studio – 3 Beds
San Francisco,Condos,CA,94105,"[{'bedroom_type': '1 Bed', 'price': '$5,22'}]","San Francisco, CA 94105",https://www.apartments.com/333-fremont-st-san-francisco-ca/8gxffd0/,1 BA,,,,Available Now,,,,"$5,22",,,,
Mountain View,Condos,CA,94040,"[{'bedroom_type': '1 Bed', 'price': '$2,79'}]","877 Heatherstone Way, Mountain View, CA 94040",https://www.apartments.com/heatherstone-877-heatherstone-way-514-mountain-view-ca/rymf4g1/,1 BA,750 Sq Ft,750,,Jan 4,,,,"$2,79",,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': 'Studio', 'price': '$2,65'}]","1222 Harrison St, San Francisco, CA 94103",https://www.apartments.com/l-seven-1222-harrison-st-2518-san-francisco-ca/78gpc8z/,1 BA,460 Sq Ft,460,,Jan 29,,,"$2,65",,,,,
Los Angeles,Condos,CA,90038,"[{'bedroom_type': '1 Bed', 'price': '$3,56'}]","Los Angeles, CA 90038",https://www.apartments.com/6677-santa-monica-blvd-los-angeles-ca/239d2wb/,1 BA,762 Sq Ft,762,,Available Now,,,,"$3,56",,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': '1 Bed', 'price': '$2,81'}]","San Francisco, CA 94103",https://www.apartments.com/1190-mission-st-san-francisco-ca/dfn7nsl/,1 BA,700 Sq Ft,700,,Jan 7,,,,"$2,81",,,,
San Francisco,Condos,CA,94102,"[{'bedroom_type': 'Studio', 'price': '$3,59'}]","San Francisco, CA 94102",https://www.apartments.com/325-octavia-st-san-francisco-ca/gxsbb7x/,1 BA,467 Sq Ft,467,,Available Now,,,"$3,59",,,,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '2 Beds', 'price': '$2,42'}]","12323 Texas Ave, Los Angeles, CA 90025",https://www.apartments.com/12323-texas-ave-los-angeles-ca/qvg7lnz/,1½ BAs,850 Sq Ft,850,,Jan 21,,"$2,42",,,,,,
San Francisco,Condos,CA,94109,"[{'bedroom_type': '1 Bed', 'price': '$3,11'}]","1285 Sutter St, San Francisco, CA 94109",https://www.apartments.com/etta-1285-sutter-st-505-san-francisco-ca/9khbcm4/,1 BA,600 Sq Ft,600,,Feb 18,,,,"$3,11",,,,
San Francisco,Condos,CA,94105,"[{'bedroom_type': '2 Beds', 'price': '$4,10'}]","33 Tehama St, San Francisco, CA 94105",https://www.apartments.com/33-tehama-st-8k-san-francisco-ca/zq4jqrw/,2 BAs,931 Sq Ft,931,,Jan 8,,"$4,10",,,,,,
San Francisco,Condos,CA,94107,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","501 Delancey St, San Francisco, CA 94107",https://www.apartments.com/501-delancey-st-211-san-francisco-ca/evp33nq/,1 BA,640 Sq Ft,640,,Jan 15,,,,"$2,60",,,,
San Francisco,Condos,CA,94158,"[{'bedroom_type': '1 Bed', 'price': '$3,00'}]","690 Long Bridge Street, San Francisco, CA 94158",https://www.apartments.com/azure-690-long-bridge-st-519-san-francisco-ca/v74nqvd/,1 BA,725 Sq Ft,725,,Jan 14,,,,"$3,00",,,,
San Francisco,Condos,CA,94105,"[{'bedroom_type': '1 Bed', 'price': '$3,40'}]","33 Tehama St, San Francisco, CA 94105",https://www.apartments.com/33-tehama-st-10m-san-francisco-ca/9bk72f7/,1 BA,647 Sq Ft,647,,Jan 9,,,,"$3,40",,,,
Long Beach,Condos,CA,90802,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","Long Beach, CA 90802",https://www.apartments.com/479-gaviota-ave-long-beach-ca/drkjwyh/,2 BAs,"1,270 Sq Ft","1,270",12 Month Lease,Available Now,,"$2,59",,,,,,
San Francisco,Condos,CA,94117,"[{'bedroom_type': 'Studio – 3 Beds', 'price': '$2,695'}]","San Francisco, CA 94117",https://www.apartments.com/1019-ashbury-st-san-francisco-ca/jglm7c5/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,,,,,"$2,695"
Palm Springs,Condos,CA,92262,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","Palm Springs, CA 92262",https://www.apartments.com/400-n-sunrise-way-palm-springs-ca-unit-227/ryqrg91/,2 BAs,"1,185 Sq Ft","1,185",12 Month Lease,Apr 22,,"$2,25",,,,,,
Los Angeles,Condos,CA,90066,"[{'bedroom_type': '2 Beds', 'price': '$2,59'}]","4230 S Centinela Ave, Los Angeles, CA 90066",https://www.apartments.com/4230-s-centinela-ave-los-angeles-ca/dzlcqck/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,59",,,,,,
Los Angeles,Condos,CA,91602,"[{'bedroom_type': '2 Beds', 'price': '$2,17'}]","Los Angeles, CA 91602",https://www.apartments.com/10805-camarillo-st-los-angeles-ca/yw801dr/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,17",,,,,,
Lennox,Condos,CA,90304,"[{'bedroom_type': 'Studio', 'price': '$1,19'}]","11123 S Inglewood Ave, Lennox, CA 90304",https://www.apartments.com/11123-s-inglewood-ave-lennox-ca/cdcmvze/,1 BA,500 Sq Ft,500,24 Month Lease,Available Now,,,"$1,19",,,,,
