City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,6 Beds,1 – 2 Beds,Studio – 2 Beds,4 Beds
Oceanside,Condos,CA,92057,"[{'bedroom_type': '2 Beds', 'price': '$1,82'}]","510 Calle Montecito, Oceanside, CA 92057",https://www.apartments.com/510-calle-montecito-oceanside-ca-unit-56/n0fs3hp/,2 BAs,856 Sq Ft,856,,Available Now,"$1,82",,,,,,,
San Francisco,Condos,CA,94118,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,550'}]","San Francisco, CA 94118",https://www.apartments.com/147-wood-st-san-francisco-ca/yy5rmsr/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,,,"$2,550",,
Montebello,Condos,CA,90640,"[{'bedroom_type': '1 Bed', 'price': '$1,35'}]","Montebello, CA 90640",https://www.apartments.com/742-via-altamira-via-montebello-ca/27xcmgc/,1 BA,650 Sq Ft,650,,Available Now,,"$1,35",,,,,,
Los Angeles,Condos,CA,91325,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","Los Angeles, CA 91325",https://www.apartments.com/17555-community-st-los-angeles-ca/ys6lm5r/,1 BA,560 Sq Ft,560,1 Month Lease,Available Now,,"$1,79",,,,,,
San Francisco,Condos,CA,94122,"[{'bedroom_type': '1 Bed', 'price': '$2,54'}]","San Francisco, CA 94122",https://www.apartments.com/4041-lincoln-way-san-francisco-ca/x7bsq9q/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,54",,,,,,
Danville,Condos,CA,94526,"[{'bedroom_type': '2 Beds', 'price': '$5,50'}]","200 Railroad Ave, Danville, CA 94526",https://www.apartments.com/200-railroad-ave-danville-ca-unit-202/rpkh3m1/,2 BAs,"1,306 Sq Ft","1,306",6 Month Lease,Available Now,"$5,50",,,,,,,
Danville,Condos,CA,94526,"[{'bedroom_type': '1 Bed', 'price': '$5,00'}]","111 W Prospect Ave, Danville, CA 94526",https://www.apartments.com/111-w-prospect-ave-danville-ca-unit-202/ehbhv6q/,1 BA,"1,228 Sq Ft","1,228",6 Month Lease,Available Now,,"$5,00",,,,,,
Burbank,Condos,CA,91501,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","Burbank, CA 91501",https://www.apartments.com/611-e-san-jose-ave-burbank-ca/9mz15s7/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,,"$1,79",,,,,,
Merced,Condos,CA,95348,"[{'bedroom_type': '2 Beds', 'price': '$92'}]","Merced, CA 95348",https://www.apartments.com/3106-denver-ave-merced-ca/4hmznml/,1 BA,730 Sq Ft,730,4 Month Lease,Available Now,$92,,,,,,,
Merced,Condos,CA,95348,"[{'bedroom_type': '1 Bed', 'price': '$84'}]","Merced, CA 95348",https://www.apartments.com/3110-denver-ave-merced-ca/5rq4xkn/,1 BA,530 Sq Ft,530,4 Month Lease,Available Now,,$84,,,,,,
