City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
San Ramon,Condos,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","298 Eastridge Dr, San Ramon, CA 94582",https://www.apartments.com/298-eastridge-dr-san-ramon-ca-unit-298/651m0sv/,1 BA,730 Sq Ft,730,12 Month Lease,Available Now,"$1,99",,,,,,,
San Diego,Condos,CA,92122,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","3969 Mahaila Ave, San Diego, CA 92122",https://www.apartments.com/3969-mahaila-ave-san-diego-ca-unit-402/6q7p9mt/,2 BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,,"$2,99",,,,,,
Menlo Park,Condos,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Menlo Park, CA 94025",https://www.apartments.com/11-coleman-pl-menlo-park-ca/g52qlvx/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,"$2,50",,,,,
Moraga,Condos,CA,94556,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","Moraga, CA 94556",https://www.apartments.com/2027-ascot-dr-moraga-ca/m4qh0dk/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$3,80",,,,,,
Fremont,Condos,CA,94539,"[{'bedroom_type': '1 Bed', 'price': '$2,10'}]","279 Hackamore Cmn, Fremont, CA 94539",https://www.apartments.com/279-hackamore-cmn-fremont-ca-unit-118/rt6mx90/,1 BA,689 Sq Ft,689,12 Month Lease,Available Now,"$2,10",,,,,,,
Chula Vista,Condos,CA,91910,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Chula Vista, CA 91910",https://www.apartments.com/44-madison-ave-chula-vista-ca/e06vjgp/,1 BA,700 Sq Ft,700,,Available Now,,,"$1,80",,,,,
Anaheim,Condos,CA,92806,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","430 N Beth St, Anaheim, CA 92806",https://www.apartments.com/430-n-beth-st-anaheim-ca-unit-a/mecly4j/,1 BA,"1,022 Sq Ft","1,022",12 Month Lease,Available Now,,,"$2,20",,,,,
Richmond,Condos,CA,94804,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","Richmond, CA 94804",https://www.apartments.com/509-s-18th-st-richmond-ca/2s6h7y9/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$3,30",,,,,,
Los Angeles,Condos,CA,90272,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","Los Angeles, CA 90272",https://www.apartments.com/16513-sunset-blvd-los-angeles-ca/y5h2n5s/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$3,00",,,,,,
Long Beach,Condos,CA,90803,"[{'bedroom_type': 'Studio', 'price': '$1,29'}]","4219 E 1st St, Long Beach, CA 90803",https://www.apartments.com/4219-e-1st-st-long-beach-ca/cfzwv0e/,1 BA,100 Sq Ft,100,6 Month Lease,Available Now,,,,"$1,29",,,,
Escondido,Condos,CA,92027,"[{'bedroom_type': '1 Bed', 'price': '$1,43'}]","Escondido, CA 92027",https://www.apartments.com/1905-e-grand-ave-escondido-ca/818ff72/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,43",,,,,,,
Newport Beach,Condos,CA,92663,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","122 24th St, Newport Beach, CA 92663",https://www.apartments.com/122-24th-st-newport-beach-ca-unit-a/kzqtqq8/,2 BAs,"2,800 Sq Ft","2,800",9 Month Lease,Available Now,,"$5,00",,,,,,
Huntington Beach,Condos,CA,92648,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","200 Pacific Coast Hwy, Huntington Beach, CA 92648",https://www.apartments.com/200-pacific-coast-hwy-huntington-beach-ca-unit-328/xy1p1dn/,2½ BAs,"1,428 Sq Ft","1,428",12 Month Lease,Available Now,,"$4,50",,,,,,
Laguna Beach,Condos,CA,92651,"[{'bedroom_type': '2 Beds', 'price': '$8,00'}]","31423 Coast Hwy, Laguna Beach, CA 92651",https://www.apartments.com/31423-coast-hwy-laguna-beach-ca-unit-66/6rmlt5s/,2 BAs,"1,579 Sq Ft","1,579",12 Month Lease,Available Now,,,"$8,00",,,,,
Mountain Center,Condos,CA,92561,"[{'bedroom_type': '1 Bed', 'price': '$90'}]","56250 Las Rocas, Mountain Center, CA 92561",https://www.apartments.com/56250-las-rocas-mountain-center-ca/dxvq4ll/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,$90,,,,,,,
Oakland,Condos,CA,94609,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","Oakland, CA 94609",https://www.apartments.com/5303-martin-luther-king-jr-way-oakland-ca/7qchsyz/,1 BA,"1,001 Sq Ft","1,001",12 Month Lease,Available Now,,,"$2,00",,,,,
Los Angeles,Condos,CA,91326,"[{'bedroom_type': 'Studio', 'price': '$1,69'}]","Los Angeles, CA 91326",https://www.apartments.com/19122-clymer-st-los-angeles-ca/v402rxe/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,69",,,,
Irvine,Condos,CA,92612,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","2233 Martin, Irvine, CA 92612",https://www.apartments.com/2233-martin-irvine-ca-unit-102/2c9dn2c/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$2,50",,,,,
Corte Madera,Condos,CA,94925,"[{'bedroom_type': '2 Beds', 'price': '$3,97'}]","126 Sandpiper Cir, Corte Madera, CA 94925",https://www.apartments.com/126-sandpiper-cir-corte-madera-ca-unit-casa-madera/d0wjgzj/,2½ BAs,"1,480 Sq Ft","1,480",12 Month Lease,Available Now,,,"$3,97",,,,,
