City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Thousand Oaks,Houses,CA,91362,"[{'bedroom_type': '3 Beds', 'price': '$3,55'}]","964 El Segundo Dr, Thousand Oaks, CA 91362",https://www.apartments.com/964-el-segundo-dr-thousand-oaks-ca/fbw3y1v/,2 BAs,"2,179 Sq Ft","2,179",12 Month Lease,Available Now,,,"$3,55",,,,,
Los Angeles,Houses,CA,91335,"[{'bedroom_type': '4 Beds', 'price': '$4,00'}]","17921 Ingomar St, Los Angeles, CA 91335",https://www.apartments.com/17921-ingomar-st-los-angeles-ca/dc5dp0l/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,,"$4,00",,,,
Sherman Oaks,Houses,CA,91403,"[{'bedroom_type': '5 Beds', 'price': '$13,00'}]","15014 Valleyheart Dr, Sherman Oaks, CA 91403",https://www.apartments.com/15014-valleyheart-dr-sherman-oaks-ca/cvdxfkf/,6½ BAs,"3,539 Sq Ft","3,539",1 Month Lease,Available Now,,,,,,"$13,00",,
Los Angeles,Houses,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","11938 Runnymede St, Los Angeles, CA 91605",https://www.apartments.com/11938-runnymede-st-los-angeles-ca/s9pfbe5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,30",,,,,,
Cathedral City,Houses,CA,92234,"[{'bedroom_type': '3 Beds', 'price': '$2,30'}]","67426 Rio Vista Dr, Cathedral City, CA 92234",https://www.apartments.com/67426-rio-vista-dr-cathedral-city-ca/gyzztty/,2 BAs,"1,184 Sq Ft","1,184",12 Month Lease,Available Now,,,"$2,30",,,,,
Novato,Houses,CA,94945,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","2029 Shady Ln, Novato, CA 94945",https://www.apartments.com/2029-shady-ln-novato-ca/f4xe93r/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,20",,,,,
San Diego,Houses,CA,92101,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","2063 2nd Ave, San Diego, CA 92101",https://www.apartments.com/2063-2nd-ave-san-diego-ca/83fy9q2/,1 BA,450 Sq Ft,450,,Available Now,"$2,40",,,,,,,
Los Angeles,Houses,CA,91331,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","13983 Van Nuys Blvd, Los Angeles, CA 91331",https://www.apartments.com/13983-van-nuys-blvd-los-angeles-ca/te4956c/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,30",,,,,,
Santa Rosa,Houses,CA,95403,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","2249 San Miguel Ave, Santa Rosa, CA 95403",https://www.apartments.com/2249-san-miguel-ave-santa-rosa-ca/dyst59l/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$2,90",,,,,
Los Angeles,Houses,CA,90066,"[{'bedroom_type': '4 Beds', 'price': '$6,50'}]","12461 Gilmore Ave, Los Angeles, CA 90066",https://www.apartments.com/12461-gilmore-ave-los-angeles-ca/751vysx/,2 BAs,"1,392 Sq Ft","1,392",6 Month Lease,Available Now,,,,"$6,50",,,,
West Hollywood,Houses,CA,90046,"[{'bedroom_type': '3 Beds', 'price': '$6,75'}]","904 N Stanley Ave, West Hollywood, CA 90046",https://www.apartments.com/904-n-stanley-ave-west-hollywood-ca/c9352qd/,2 BAs,"1,688 Sq Ft","1,688",,Available Now,,,"$6,75",,,,,
Daly City,Houses,CA,94015,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","339 St Francis Blvd, Daly City, CA 94015",https://www.apartments.com/339-st-francis-blvd-daly-city-ca/2ge1ygc/,2 BAs,"1,400 Sq Ft","1,400",,Available Now,,,"$2,99",,,,,
Los Angeles,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$4,15'}]","449 N Hayworth Ave, Los Angeles, CA 90048",https://www.apartments.com/449-n-hayworth-ave-los-angeles-ca/q8r5w7y/,2 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$4,15",,,,,
Pasadena,Houses,CA,91103,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","1826 Lincoln Ave, Pasadena, CA 91103",https://www.apartments.com/1826-lincoln-ave-pasadena-ca/9qr70h7/,2 BAs,"1,300 Sq Ft","1,300",,Available Now,,,"$3,20",,,,,
Los Angeles,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$4,20'}]","6552 Nagle Ave, Los Angeles, CA 91401",https://www.apartments.com/6552-nagle-ave-los-angeles-ca/td711w8/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,,"$4,20",,,,,
Los Angeles,Houses,CA,91364,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","4798 Regalo Rd, Los Angeles, CA 91364",https://www.apartments.com/4798-regalo-rd-los-angeles-ca/k6kkgnc/,3 BAs,"2,626 Sq Ft","2,626",12 Month Lease,Available Now,,,"$4,75",,,,,
